Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2013 Population,Moody's_Bond_Ratings_July_2013,area lmt,ACGLFY13,EGL,TANF13 Recipients,empl,ACMR,enrollmt
"STONINGTON","JG",2.0130000000000000e+03,1.3800000000000000e+02,1.3700000000000000e+02,"NL",92169328.0000,21431285.0000,114257063.0000,2432203.0000,0.0000,0.0000,0.0000,1665601.0000,13809678.0000,12144077.0000,13809678.0000,"N",5827721.0000,50793373.0000,59639677.0000,36055893.0000,4689081.0000,58758141.0000,45000.0000,45000.0000,1263733.0000,1263733.0000,-337197.0000,1422530.0000,-337197.0000,0.0000,"N","N",,36276538.0000,36276538.0000,50579257.0000,50005838.0000,9.8866296118189323e-01,51286825.0000,50435153.0000,9.8339394181644113e-01,1.8541000000000000e+04,"Aa1",3.8680000000000000e+01,3188057519.0000,3636910156.1400,9.6000000000000000e+01,5.9046416166719295e-02,1.5890000000000001e+01,2.4407500000000000e+03
"STRATFORD","JG",2.0130000000000000e+03,1.3900000000000000e+02,1.3800000000000000e+02,"F",58171856.0000,-37138079.0000,23561384.0000,10778794.0000,0.0000,0.0000,0.0000,1666093.0000,11163535.0000,9497442.0000,11163535.0000,"N",42309903.0000,154052416.0000,204674279.0000,104421589.0000,19102989.0000,205502130.0000,700000.0000,2797164.0000,1880220.0000,1880220.0000,-2008071.0000,2491079.0000,89093.0000,0.0000,"Y","Y",,138654684.0000,138654684.0000,155392622.0000,151858937.0000,9.7725963463052967e-01,159526297.0000,152641686.0000,9.5684340996143102e-01,5.2112000000000000e+04,"A1",1.7579999999999998e+01,4525385543.0000,6121995816.6200,3.0800000000000000e+02,8.7579442342309244e-02,3.4479999999999997e+01,7.3540799999999999e+03
"SUFFIELD","JG",2.0130000000000000e+03,1.4000000000000000e+02,1.3900000000000000e+02,"H",73085307.0000,23036136.0000,96584028.0000,3482524.0000,0.0000,176611.0000,386000.0000,3214471.0000,11530223.0000,7753141.0000,11353612.0000,"N",17289320.0000,35158618.0000,55005844.0000,35308503.0000,2184530.0000,50784326.0000,1093000.0000,1613793.0000,3735334.0000,3735334.0000,1579184.0000,1532718.0000,2099977.0000,0.0000,"N","N",,20496565.0000,20496565.0000,35062754.0000,34643065.0000,9.8803034696019598e-01,35702867.0000,34889653.0000,9.7722272555870648e-01,1.5788000000000000e+04,,4.2210000000000001e+01,1407054334.0000,1892114160.1500,2.2000000000000000e+01,6.2192454893384361e-02,2.4840000000000000e+01,2.3844000000000001e+03
"THOMASTON","JG",2.0130000000000000e+03,1.4100000000000000e+02,1.4000000000000000e+02,"L",32134289.0000,1418992.0000,34413065.0000,897149.0000,0.0000,0.0000,0.0000,315000.0000,3016438.0000,2701438.0000,3016438.0000,"N",8104930.0000,17943306.0000,26319519.0000,15702579.0000,2791846.0000,22471671.0000,20310.0000,20310.0000,3177031.0000,3177031.0000,691127.0000,154635.0000,691127.0000,0.0000,"N","N",,25481941.0000,25481941.0000,17645073.0000,17364941.0000,9.8412406681457198e-01,18425304.0000,17744172.0000,9.6303279446569778e-01,7.7610000000000000e+03,"Aa3",1.2010000000000000e+01,525998215.0000,751534592.8600,2.3000000000000000e+01,7.1824381926683722e-02,3.2829999999999998e+01,1.1634800000000000e+03
"THOMPSON","JG",2.0130000000000000e+03,1.4200000000000000e+02,1.4100000000000000e+02,"W",31850186.0000,2649015.0000,37443039.0000,-219041.0000,0.0000,426490.0000,0.0000,216220.0000,2727494.0000,2084784.0000,2301004.0000,"N",10242444.0000,13613575.0000,24481842.0000,17999046.0000,1032528.0000,23918213.0000,543990.0000,618990.0000,359649.0000,359649.0000,747970.0000,-70309.0000,822970.0000,0.0000,"N","N",,10826597.0000,10826597.0000,13480856.0000,13181012.0000,9.7775779223515180e-01,14110980.0000,13350985.0000,9.4614158619741506e-01,9.3540000000000000e+03,"A1",4.6939999999999998e+01,608364372.0000,807310836.3900,6.3000000000000000e+01,7.7103718199608609e-02,2.2199999999999999e+01,1.1896600000000001e+03
"TOLLAND","JG",2.0130000000000000e+03,1.4300000000000000e+02,1.4200000000000000e+02,"T",78699978.0000,15874642.0000,94887683.0000,-1365495.0000,0.0000,170722.0000,0.0000,1086458.0000,7906567.0000,6649387.0000,7735845.0000,"N",16502034.0000,39100634.0000,56290219.0000,40346946.0000,4974766.0000,56171517.0000,0.0000,59681.0000,310853.0000,310853.0000,-192151.0000,227770.0000,-132470.0000,0.0000,"N","N",,39671210.0000,39671210.0000,38831162.0000,38481041.0000,9.9098350443388739e-01,39348911.0000,38825172.0000,9.8668987306916833e-01,1.4915000000000000e+04,"Aa2",3.9710000000000001e+01,1293240010.0000,1781574138.8400,2.2000000000000000e+01,5.3436939629408250e-02,2.9989999999999998e+01,2.9495999999999999e+03
"TORRINGTON","JG",2.0130000000000000e+03,1.4400000000000000e+02,1.4300000000000000e+02,"L",80441773.0000,-11448938.0000,68997683.0000,-2572581.0000,0.0000,0.0000,374657.0000,721028.0000,6430424.0000,5334739.0000,6430424.0000,"N",35757107.0000,79225876.0000,120661061.0000,71882551.0000,5058596.0000,119412908.0000,1250980.0000,1250980.0000,1270473.0000,1270473.0000,1228660.0000,1616640.0000,1228660.0000,0.0000,"N","Y",,29979821.0000,29979821.0000,78960342.0000,78960342.0000,1.0000000000000000e+00,78960342.0000,78960342.0000,1.0000000000000000e+00,3.5611000000000000e+04,"Aa3",3.9789999999999999e+01,2359143335.0000,3163588444.0000,2.9600000000000000e+02,8.3881745469272045e-02,3.3469999999999999e+01,4.5328900000000003e+03
"TRUMBULL","JG",2.0130000000000000e+03,1.4500000000000000e+02,1.4400000000000000e+02,"F",114471816.0000,-31661600.0000,83037288.0000,15162492.0000,1669248.0000,0.0000,1181446.0000,803684.0000,20827677.0000,17173299.0000,19158429.0000,"N",17524070.0000,135506647.0000,159869929.0000,105090812.0000,11432679.0000,159978627.0000,601317.0000,887692.0000,0.0000,0.0000,492619.0000,1772688.0000,778994.0000,0.0000,"N","Y",,92286720.0000,92286720.0000,135527523.0000,132867800.0000,9.8037503422828731e-01,138466349.0000,134111027.0000,9.6854598946636483e-01,3.6571000000000000e+04,"Aa2",2.3289999999999999e+01,4436178214.0000,6339433162.8600,4.0000000000000000e+01,6.2419598411544271e-02,3.0710000000000001e+01,6.7592700000000004e+03
"UNION","JG",2.0130000000000000e+03,1.4600000000000000e+02,1.4500000000000000e+02,"T",5551314.0000,708795.0000,6568350.0000,-75008.0000,0.0000,0.0000,0.0000,230000.0000,502811.0000,272811.0000,502811.0000,"N",546054.0000,2312286.0000,2882477.0000,1739301.0000,316406.0000,3043620.0000,145200.0000,156485.0000,0.0000,0.0000,-15943.0000,38874.0000,-4658.0000,0.0000,"N","N",,3678800.0000,3678800.0000,2302943.0000,2263979.0000,9.8308077968060870e-01,2341749.0000,2285538.0000,9.7599614647001021e-01,8.4800000000000000e+02,,2.8710000000000001e+01,97609850.0000,128609415.7100,0.0000000000000000e+00,5.7906458797327393e-02,2.3590000000000000e+01,1.0000000000000000e+02
"VERNON","JG",2.0130000000000000e+03,1.4700000000000000e+02,1.4600000000000000e+02,"T",107081145.0000,7962107.0000,118121294.0000,528538.0000,0.0000,0.0000,0.0000,1388542.0000,11404190.0000,10015648.0000,11404190.0000,"N",25275405.0000,58939088.0000,86474509.0000,54365055.0000,6056353.0000,85040040.0000,528085.0000,572915.0000,1717721.0000,1717721.0000,244833.0000,36462.0000,289663.0000,0.0000,"N","Y",,46747238.0000,46747238.0000,58684540.0000,57812300.0000,9.8513680093598754e-01,60201526.0000,58447170.0000,9.7085861245444172e-01,2.9161000000000000e+04,"Aa2",1.7730000000000000e+01,1738439714.0000,2484656177.1400,2.7100000000000000e+02,7.4368874368874363e-02,3.3630000000000003e+01,3.7098699999999999e+03
"VOLUNTOWN","JG",2.0130000000000000e+03,1.4800000000000000e+02,1.4700000000000000e+02,"NL",8713288.0000,3508684.0000,12221972.0000,770462.0000,0.0000,0.0000,577140.0000,41114.0000,2111666.0000,1493412.0000,2111666.0000,"N",3537975.0000,4815884.0000,8536148.0000,6716929.0000,81250.0000,8319082.0000,50001.0000,50001.0000,265001.0000,265001.0000,2066.0000,360287.0000,2066.0000,0.0000,"N","N",,260000.0000,260000.0000,4793824.0000,4658578.0000,9.7178744985214305e-01,5013890.0000,4777984.0000,9.5294950627157760e-01,2.6110000000000000e+03,,3.8920000000000002e+01,194954334.0000,266836147.3500,1.3000000000000000e+01,8.8977423638778225e-02,2.4250000000000000e+01,4.1510000000000002e+02
"WALLINGFORD","JG",2.0130000000000000e+03,1.4900000000000000e+02,1.4800000000000000e+02,"NH",204447000.0000,13464000.0000,219373000.0000,2367000.0000,2000.0000,0.0000,911000.0000,5626000.0000,24804000.0000,18265000.0000,24802000.0000,"N",37299000.0000,109255000.0000,151652000.0000,99391000.0000,4807000.0000,149505000.0000,2104000.0000,2104000.0000,2091000.0000,2091000.0000,2160000.0000,1682000.0000,2160000.0000,0.0000,"N","Y",,34299000.0000,34299000.0000,109079000.0000,107020000.0000,9.8112377267851736e-01,113151000.0000,108354000.0000,9.5760532385926767e-01,4.5141000000000000e+04,"Aaa",3.9020000000000003e+01,4180327454.0000,5908424628.2200,1.4300000000000000e+02,6.6297272163670179e-02,2.5980000000000000e+01,6.2886300000000001e+03
"WARREN","JG",2.0130000000000000e+03,1.5000000000000000e+02,1.4900000000000000e+02,"L",4295973.0000,2478965.0000,6808434.0000,95085.0000,0.0000,0.0000,3427.0000,84216.0000,1524970.0000,1437327.0000,1524970.0000,"N",167000.0000,4663154.0000,4946692.0000,3158921.0000,238688.0000,4737348.0000,0.0000,0.0000,133801.0000,133801.0000,75543.0000,-911181.0000,75543.0000,0.0000,"N","N",555198.8080,2550000.0000,3105198.8080,4632127.0000,4598166.0000,9.9266837891102722e-01,4681453.0000,4636807.0000,9.9046321729599762e-01,1.4470000000000000e+03,"Aa2",2.6309999999999999e+01,357792660.0000,471325949.6500,0.0000000000000000e+00,6.2261753494282084e-02,1.3000000000000000e+01,1.7134000000000000e+02
"WASHINGTON","JG",2.0130000000000000e+03,1.5100000000000000e+02,1.5000000000000000e+02,"L",10587118.0000,7888440.0000,18965840.0000,1590635.0000,0.0000,0.0000,169055.0000,197873.0000,2831679.0000,2464751.0000,2831679.0000,"N",374888.0000,14378729.0000,15650048.0000,9532203.0000,59043.0000,14270362.0000,0.0000,140000.0000,1869377.0000,1869377.0000,-489691.0000,464137.0000,-349691.0000,0.0000,"N","N",1381165.4364,55000.0000,1436165.4364,14415527.0000,14214529.0000,9.8605683996152205e-01,14621651.0000,14288038.0000,9.7718362994712427e-01,3.5260000000000000e+03,"Aa2",3.8180000000000000e+01,1254868260.0000,1539044494.7100,3.0000000000000000e+00,5.3260328521652564e-02,1.1500000000000000e+01,3.7241000000000003e+02
"WATERBURY","JG",2.0130000000000000e+03,1.5200000000000000e+02,1.5100000000000000e+02,"NH",446299000.0000,-260076000.0000,188458000.0000,34411000.0000,0.0000,0.0000,0.0000,3000000.0000,22422000.0000,19422000.0000,22422000.0000,"N",159594000.0000,224710000.0000,403119000.0000,174373000.0000,46104000.0000,354378000.0000,0.0000,0.0000,48720000.0000,48720000.0000,21000.0000,15000.0000,21000.0000,0.0000,"N","Y",,456735000.0000,456735000.0000,219431000.0000,214662000.0000,9.7826651658152219e-01,231984000.0000,217778000.0000,9.3876301813918206e-01,1.0967600000000000e+05,"A1",2.8570000000000000e+01,5307801573.0000,5511932368.5800,3.6500000000000000e+03,1.2234960910977905e-01,4.1818399999999997e+01,1.7787240000000002e+04
"WATERFORD","JG",2.0130000000000000e+03,1.5300000000000000e+02,1.5200000000000000e+02,"NL",178578443.0000,3660830.0000,182408405.0000,175412.0000,43213.0000,0.0000,8990627.0000,568685.0000,11838734.0000,2236209.0000,11795521.0000,"N",8260186.0000,73303784.0000,84376189.0000,49169506.0000,4495654.0000,80891201.0000,0.0000,0.0000,2556748.0000,2556748.0000,928240.0000,-286593.0000,928240.0000,0.0000,"N","N",,81625000.0000,81625000.0000,73236786.0000,72500641.0000,9.8994842564500307e-01,74553508.0000,73001057.0000,9.7917668743367514e-01,1.9505000000000000e+04,"Aa2",3.2750000000000000e+01,3712635087.0000,4426753187.6000,5.5000000000000000e+01,7.2784190960673054e-02,1.9770000000000000e+01,3.0144200000000001e+03
"WATERTOWN","JG",2.0130000000000000e+03,1.5400000000000000e+02,1.5300000000000000e+02,"L",135726900.0000,227884.0000,136247024.0000,1716077.0000,0.0000,0.0000,0.0000,797675.0000,6372283.0000,5574608.0000,6372283.0000,"N",18523914.0000,47229837.0000,68260379.0000,42983391.0000,6811471.0000,69222035.0000,187386.0000,10310428.0000,284300.0000,9731076.0000,-1058570.0000,330782.0000,-382304.0000,0.0000,"N","Y",,62857593.0000,62857593.0000,47107017.0000,46331796.0000,9.8354340713189292e-01,48230606.0000,46928769.0000,9.7300807292365354e-01,2.2228000000000000e+04,"Aa2",2.9149999999999999e+01,1941581278.0000,2400494080.0500,8.7000000000000000e+01,6.4538622452932515e-02,2.4230000000000000e+01,3.0401100000000001e+03
"WEST HARTFORD","JG",2.0130000000000000e+03,1.5500000000000000e+02,1.5500000000000000e+02,"H",171505000.0000,22389000.0000,196495000.0000,5280000.0000,179000.0000,0.0000,0.0000,333000.0000,19443000.0000,18931000.0000,19264000.0000,"N",39853000.0000,210571000.0000,256217000.0000,155074000.0000,17952000.0000,239506000.0000,790000.0000,790000.0000,16413000.0000,16413000.0000,1088000.0000,-356000.0000,1088000.0000,0.0000,"N","N",,133085000.0000,133085000.0000,210066000.0000,208258000.0000,9.9139318119067343e-01,212633000.0000,209693000.0000,9.8617335973249687e-01,6.3371000000000000e+04,"Aaa",2.1980000000000000e+01,5878019742.0000,8400921331.4300,2.2000000000000000e+02,5.5402574079616879e-02,3.5750000000000000e+01,1.0333580000000000e+04
"WEST HAVEN","JG",2.0130000000000000e+03,1.5600000000000000e+02,1.5600000000000000e+02,"NH",83270506.0000,-64127305.0000,19383391.0000,5513406.0000,5537319.0000,0.0000,0.0000,0.0000,-7776649.0000,-13313968.0000,-13313968.0000,"N",62176447.0000,88645476.0000,154029523.0000,89015764.0000,18017398.0000,152919556.0000,2178416.0000,2630416.0000,980366.0000,980366.0000,2308017.0000,14564.0000,2760017.0000,0.0000,"N","Y",,149188976.0000,149188976.0000,88111713.0000,86410454.0000,9.8069202218324825e-01,92247298.0000,87089158.0000,9.4408356546118022e-01,5.5046000000000000e+04,"Baa1",1.0830000000000000e+01,2823550390.0000,3861225599.6300,7.1800000000000000e+02,9.4169057308693044e-02,3.1250000000000000e+01,7.2242600000000002e+03
"WESTBROOK","JG",2.0130000000000000e+03,1.5700000000000000e+02,1.5400000000000000e+02,"M",36374214.0000,6725269.0000,43133557.0000,2486021.0000,18932.0000,0.0000,0.0000,0.0000,3733659.0000,3714727.0000,3714727.0000,"N",2641702.0000,23608365.0000,27461153.0000,16815605.0000,3277809.0000,27298701.0000,8935.0000,8935.0000,398970.0000,398970.0000,-227583.0000,787861.0000,-227583.0000,0.0000,"N","N",,19435000.0000,19435000.0000,23482906.0000,23219812.0000,9.8879636106366053e-01,23990793.0000,23450267.0000,9.7746944004727143e-01,6.9060000000000000e+03,"Aa2",1.5720000000000001e+01,1124402551.0000,1607615430.0000,9.0000000000000000e+00,6.4287737184933441e-02,2.0980000000000000e+01,8.8916999999999996e+02
"WESTON","JG",2.0130000000000000e+03,1.5800000000000000e+02,1.5700000000000000e+02,"F",46508839.0000,14669641.0000,64290956.0000,1770161.0000,1423421.0000,0.0000,419229.0000,253312.0000,11406272.0000,9310310.0000,9982851.0000,"N",5788270.0000,63966155.0000,71254107.0000,50549481.0000,6772976.0000,68553204.0000,158000.0000,158000.0000,2331119.0000,2331119.0000,527784.0000,1089037.0000,527784.0000,0.0000,"N","N",,52283007.0000,52283007.0000,63543227.0000,62927225.0000,9.9030578034697547e-01,64943246.0000,63681750.0000,9.8057540887315675e-01,1.0372000000000000e+04,"Aaa",1.9800000000000001e+01,2654820848.0000,3423962877.5300,5.0000000000000000e+00,5.9069767441860467e-02,2.4020000000000000e+01,2.4208699999999999e+03
"WESTPORT","JG",2.0130000000000000e+03,1.5900000000000000e+02,1.5800000000000000e+02,"F",172067660.0000,47383656.0000,225172082.0000,14332297.0000,0.0000,280679.0000,436046.0000,6660518.0000,33535432.0000,26158189.0000,33254753.0000,"N",4478950.0000,173863514.0000,205384384.0000,115994712.0000,18314630.0000,199630915.0000,564729.0000,32777088.0000,938764.0000,32783536.0000,5379434.0000,-1717555.0000,5747021.0000,0.0000,"N","Y",,134649531.0000,134649531.0000,172477712.0000,169621448.0000,9.8343980815329923e-01,183396425.0000,172294529.0000,9.3946503591877539e-01,2.7308000000000000e+04,"Aaa",2.0010000000000002e+01,9647133363.0000,14306009245.2100,1.9000000000000000e+01,5.9099128719381881e-02,1.7910000000000000e+01,5.7622100000000000e+03
"WETHERSFIELD","JG",2.0130000000000000e+03,1.6000000000000000e+02,1.5900000000000000e+02,"H",64698440.0000,13382945.0000,78081385.0000,6448140.0000,0.0000,0.0000,373793.0000,796624.0000,10481582.0000,9311165.0000,10481582.0000,"N",16262260.0000,75019911.0000,93202556.0000,58303580.0000,4372005.0000,91182335.0000,50000.0000,6769120.0000,1842525.0000,8453204.0000,227696.0000,350715.0000,336137.0000,0.0000,"N","N",,26137658.0000,26137658.0000,75725740.0000,74937870.0000,9.8959574379860793e-01,77829588.0000,75593449.0000,9.7126878019706331e-01,2.6510000000000000e+04,"Aa2",1.2390000000000001e+01,2329645400.0000,3146435531.2800,6.5000000000000000e+01,6.4869969490047946e-02,3.2579999999999998e+01,3.8779499999999998e+03
"WILLINGTON","JG",2.0130000000000000e+03,1.6100000000000000e+02,1.6000000000000000e+02,"T",10016613.0000,2535119.0000,13403522.0000,626262.0000,0.0000,0.0000,509256.0000,454926.0000,2910870.0000,1946688.0000,2910870.0000,"N",4980306.0000,11633950.0000,16807054.0000,12924389.0000,401315.0000,15982198.0000,0.0000,0.0000,796430.0000,796430.0000,28426.0000,388429.0000,28426.0000,0.0000,"N","N",2586419.5340,2503952.0000,5090371.5340,11514988.0000,11483077.0000,9.9722874222708702e-01,11624054.0000,11560331.0000,9.9451800550823322e-01,5.9650000000000000e+03,"Aa3",3.3270000000000003e+01,479079625.0000,599333682.7300,2.3000000000000000e+01,5.6242969628796401e-02,2.3960000000000001e+01,7.3758000000000004e+02
"WILTON","JG",2.0130000000000000e+03,1.6200000000000000e+02,1.6100000000000000e+02,"F",93989872.0000,25770908.0000,120066589.0000,1901733.0000,78983.0000,0.0000,223735.0000,5627533.0000,20648440.0000,14718189.0000,20569457.0000,"N",11311495.0000,107158963.0000,120895615.0000,82539363.0000,9013918.0000,121593368.0000,0.0000,464754.0000,311551.0000,311551.0000,-1009304.0000,2256493.0000,-544550.0000,0.0000,"N","N",,61363610.0000,61363610.0000,107138324.0000,106284652.0000,9.9203205754833346e-01,109005493.0000,106953006.0000,9.8117079292508680e-01,1.8657000000000000e+04,"Aaa",2.6949999999999999e+01,5112946800.0000,6134734483.9900,6.0000000000000000e+00,5.6407185628742515e-02,2.1055499999999999e+01,4.2966300000000001e+03
"WINCHESTER","JG",2.0130000000000000e+03,1.6300000000000000e+02,1.6200000000000000e+02,"L",38299684.0000,-6605797.0000,34551399.0000,-465133.0000,0.0000,0.0000,0.0000,0.0000,-1205348.0000,-1205348.0000,-1205348.0000,"N",9857387.0000,20900669.0000,31235493.0000,20997178.0000,710821.0000,30635606.0000,3.0000,3.0000,310599.0000,310599.0000,289291.0000,-563045.0000,289291.0000,-70707.0000,"N","N",,4865856.0000,4865856.0000,20812765.0000,20315733.0000,9.7611888665441615e-01,21367551.0000,20663736.0000,9.6706150367910670e-01,1.1013000000000000e+04,,3.2280000000000001e+01,818214774.0000,976395143.9200,8.3000000000000000e+01,8.4845590576249602e-02,2.5430000000000000e+01,1.3013299999999999e+03
"WINDHAM","JG",2.0130000000000000e+03,1.6400000000000000e+02,1.6300000000000000e+02,"W",41964095.0000,18477669.0000,62094447.0000,18812165.0000,111744.0000,520331.0000,142165.0000,542260.0000,11425751.0000,10109251.0000,10793676.0000,"N",36815328.0000,32599107.0000,72801357.0000,48653356.0000,3578800.0000,71290641.0000,238724.0000,238724.0000,782119.0000,782119.0000,967321.0000,1076267.0000,967321.0000,0.0000,"N","N",,18586944.0000,18586944.0000,32411684.0000,31690999.0000,9.7776465425246029e-01,33169704.0000,32244104.0000,9.7209501779093355e-01,2.5213000000000000e+04,"Aa3",2.7070000000000000e+01,947434595.0000,1205543088.2100,6.9200000000000000e+02,9.9428387408421220e-02,2.8629999999999999e+01,3.2551100000000001e+03
"WINDSOR","JG",2.0130000000000000e+03,1.6500000000000000e+02,1.6400000000000000e+02,"H",65895067.0000,7068714.0000,76381405.0000,-1559451.0000,42679.0000,0.0000,0.0000,3939957.0000,20911350.0000,16928714.0000,20868671.0000,"N",21410871.0000,82159015.0000,108233721.0000,68251357.0000,5726409.0000,99812158.0000,105150.0000,105150.0000,6219500.0000,6219500.0000,2307213.0000,235179.0000,2307213.0000,0.0000,"Y","N",,39140000.0000,39140000.0000,81403784.0000,80340938.0000,9.8694353078230368e-01,82839171.0000,81427206.0000,9.8295534608862756e-01,2.9142000000000000e+04,"Aa1",2.9629999999999999e+01,2907640693.0000,4026157220.7800,1.7700000000000000e+02,7.5636942675159233e-02,2.7949999999999999e+01,4.0197800000000002e+03
"WINDSOR LOCKS","JG",2.0130000000000000e+03,1.6600000000000000e+02,1.6500000000000000e+02,"H",54116524.0000,21607748.0000,75728107.0000,3332501.0000,0.0000,0.0000,0.0000,1084965.0000,11284977.0000,10200012.0000,11284977.0000,"N",15521733.0000,31479654.0000,47899212.0000,31350999.0000,2377967.0000,45682291.0000,133209.0000,133209.0000,685283.0000,685283.0000,1664847.0000,471176.0000,1664847.0000,0.0000,"N","N",,12079464.0000,12079464.0000,31295874.0000,30633910.0000,9.7884820216236812e-01,32553243.0000,30975330.0000,9.5152823944453091e-01,1.2573000000000000e+04,"Aa1",9.0299999999999994e+00,1153481514.0000,1598600471.9400,9.3000000000000000e+01,7.4753369459497010e-02,2.4270000000000000e+01,1.8346099999999999e+03
"WOLCOTT","JG",2.0130000000000000e+03,1.6700000000000000e+02,1.6600000000000000e+02,"NH",44810141.0000,9030794.0000,53840935.0000,-914800.0000,0.0000,0.0000,0.0000,183534.0000,3094896.0000,2911362.0000,3094896.0000,"N",20168083.0000,32153900.0000,53109249.0000,36419835.0000,4040692.0000,53464093.0000,582347.0000,1004177.0000,276000.0000,276000.0000,-48497.0000,224191.0000,373333.0000,0.0000,"N","N",,26042314.0000,26042314.0000,31801822.0000,31231420.0000,9.8206385785066030e-01,32692711.0000,31822497.0000,9.7338201778371947e-01,1.6725000000000000e+04,"A1",2.0430000000000000e+01,1254860310.0000,1794715471.4300,5.0000000000000000e+01,6.7631362889983573e-02,2.5270000000000000e+01,2.8115599999999999e+03
"WOODBRIDGE","JG",2.0130000000000000e+03,1.6800000000000000e+02,1.6700000000000000e+02,"NH",51843572.0000,5610993.0000,58596246.0000,669895.0000,34770.0000,0.0000,0.0000,1194160.0000,6050372.0000,4821442.0000,6015602.0000,"N",2939803.0000,41016791.0000,46986688.0000,26719822.0000,2299623.0000,45151880.0000,12872.0000,12872.0000,1762574.0000,1762574.0000,85106.0000,443605.0000,85106.0000,0.0000,"N","N",12974191.2509,11610168.0000,24584359.2509,40442516.0000,40235517.0000,9.9488164880740848e-01,40672739.0000,40416255.0000,9.9369395800956506e-01,8.9550000000000000e+03,"Aaa",1.8829999999999998e+01,1197919870.0000,1631618463.2400,1.2000000000000000e+01,4.9488410941741494e-02,3.3729999999999997e+01,1.4638399999999999e+03
"WOODBURY","JG",2.0130000000000000e+03,1.6900000000000000e+02,1.6800000000000000e+02,"L",16479286.0000,5581071.0000,23407850.0000,604312.0000,0.0000,0.0000,0.0000,396737.0000,3436238.0000,3039501.0000,3436238.0000,"N",1371945.0000,28368663.0000,30446285.0000,20965425.0000,402316.0000,29995412.0000,0.0000,0.0000,43164.0000,43164.0000,407709.0000,534682.0000,407709.0000,0.0000,"N","N",1465679.6701,5173969.0000,6639648.6701,28362557.0000,27828798.0000,9.8118085756513418e-01,29371871.0000,28111103.0000,9.5707566603434968e-01,9.8220000000000000e+03,"Aa2",3.6469999999999999e+01,1231244157.0000,1489047857.5200,1.5000000000000000e+01,5.9647208583378797e-02,2.2579999999999998e+01,1.2675000000000000e+03
"WOODSTOCK","JG",2.0130000000000000e+03,1.7000000000000000e+02,1.6900000000000000e+02,"W",20323636.0000,1725974.0000,25934422.0000,165483.0000,0.0000,0.0000,0.0000,263599.0000,2955643.0000,2692044.0000,2955643.0000,"N",7561764.0000,14565613.0000,22651597.0000,16844128.0000,964327.0000,22445333.0000,27132.0000,332056.0000,339221.0000,339221.0000,-105825.0000,377692.0000,199099.0000,0.0000,"N","Y",,4825331.0000,4825331.0000,14567089.0000,14338073.0000,9.8427853361780104e-01,14917404.0000,14508087.0000,9.7256111049885086e-01,7.8970000000000000e+03,"Aa3",6.0539999999999999e+01,674083343.0000,963537918.5700,1.2000000000000000e+01,6.6749379652605453e-02,2.1780000000000001e+01,1.3125000000000000e+03
