Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2006 Population,Moody's_Bond_Ratings_July_2006,area lmt,ACGLFY06,EGL,TANF06 Recipients,empl,ACMR,enrollmt,RPA Identifier
"NORWICH","VR",2.0060000000000000e+03,1.0500000000000000e+02,1.0400000000000000e+02,"NL",38680000.0000,16460000.0000,56730000.0000,5532000.0000,37751000.0000,46826000.0000,90373000.0000,59246000.0000,5606000.0000,93867000.0000,6286000.0000,6286000.0000,2474000.0000,2474000.0000,318000.0000,1254000.0000,318000.0000,0.0000,,28568000.0000,28568000.0000,259000.0000,1700000.0000,11289000.0000,"N",11030000.0000,"N","N",46542000.0000,44978000.0000,9.6639594344892787e-01,48701000.0000,46068000.0000,9.4593540173713064e-01,3.6408000000000000e+04,"A1",2.8330000000000002e+01,1744948768.0000,3276807433.2410,8.5300000000000000e+02,5.0533080181101211e-02,2.7020000000000000e+01,5.7257399999999998e+03,"Southeastern CT COG"
"OLD LYME","IT",2.0060000000000000e+03,1.0600000000000000e+02,1.0500000000000000e+02,"NL",7683152.0000,3564557.0000,11612809.0000,921740.0000,787917.0000,24469778.0000,26462403.0000,19907714.0000,122200.0000,26127584.0000,103035.0000,103035.0000,713867.0000,713867.0000,-276013.0000,137056.0000,-276013.0000,0.0000,15940094.0016,300000.0000,16240094.0016,365100.0000,0.0000,2278079.0000,"Y",1912979.0000,"N","N",24354159.0000,24092941.0000,9.8927419337288547e-01,24689934.0000,24272119.0000,9.8307751652961084e-01,7.4270000000000000e+03,"Aa2",2.3100000000000001e+01,1465446287.0000,2094246352.8571,7.0000000000000000e+00,3.0952380952380953e-02,1.6600000000000001e+01,1.2632100000000000e+03,"CT River Estuary RPA"
"OLD SAYBROOK","VR",2.0060000000000000e+03,1.0700000000000000e+02,1.0600000000000000e+02,"M",59578646.0000,8690934.0000,68269580.0000,518230.0000,2756037.0000,27381624.0000,31963855.0000,18017381.0000,2437316.0000,31046894.0000,0.0000,0.0000,0.0000,0.0000,916961.0000,-532426.0000,916961.0000,0.0000,,20640000.0000,20640000.0000,503430.0000,112046.0000,3199735.0000,"N",2696305.0000,"N","N",27298421.0000,27165319.0000,9.9512418685315174e-01,27704434.0000,27350451.0000,9.8722287558735178e-01,1.0581000000000000e+04,"Aa3",1.5040000000000001e+01,1871377271.0000,3304402788.2257,2.6000000000000000e+01,3.6022789928322002e-02,1.4600000000000000e+01,1.5625200000000000e+03,"CT River Estuary RPA"
"ORANGE","VR",2.0060000000000000e+03,1.0800000000000000e+02,1.0700000000000000e+02,"NH",17891796.0000,10137261.0000,29278869.0000,3028931.0000,3485799.0000,45297163.0000,50964284.0000,30785351.0000,1593692.0000,48846692.0000,300903.0000,300903.0000,0.0000,0.0000,2418495.0000,2102152.0000,2418495.0000,0.0000,26963591.2613,17609269.0000,44572860.2613,1594787.0000,410000.0000,10197178.0000,"N",8602391.0000,"N","N",45110836.0000,44900576.0000,9.9533903561441428e-01,45369549.0000,45096710.0000,9.9398629684416739e-01,1.3878000000000000e+04,"Aa2",1.7190000000000001e+01,1410052660.0000,3158462689.4746,8.0000000000000000e+00,3.3801641396578104e-02,3.1900000000000002e+01,2.5025500000000002e+03,"South Central Regional COG"
"OXFORD","VR",2.0060000000000000e+03,1.0900000000000000e+02,1.0800000000000000e+02,"NH",39316180.0000,15903864.0000,56107299.0000,5198870.0000,6265992.0000,23117372.0000,32101396.0000,21122475.0000,1670073.0000,31332839.0000,650000.0000,650000.0000,804537.0000,804537.0000,614020.0000,1182294.0000,614020.0000,0.0000,,6428000.0000,6428000.0000,0.0000,0.0000,5035195.0000,"Y",5035195.0000,"N","N",23237953.0000,22288318.0000,9.5913430929135624e-01,29357704.0000,22666160.0000,7.7206855140987862e-01,1.2333000000000000e+04,"A1",3.2890000000000001e+01,816899153.0000,1865790842.6545,1.7000000000000000e+01,3.3635729239357988e-02,2.7690000000000001e+01,2.0569200000000001e+03,"COG of Central Naugatuck Valley"
"PLAINFIELD","IT",2.0060000000000000e+03,1.1000000000000000e+02,1.0900000000000000e+02,"W",50811755.0000,14284693.0000,65096448.0000,3118012.0000,19393497.0000,18371781.0000,40383366.0000,30490000.0000,2826912.0000,39869759.0000,562588.0000,1292485.0000,0.0000,0.0000,1076195.0000,-334896.0000,1806092.0000,0.0000,,8562670.0000,8562670.0000,0.0000,200000.0000,5095175.0000,"N",5095175.0000,"N","N",18098396.0000,17667335.0000,9.7618236444820861e-01,19073048.0000,18039164.0000,9.4579345681927718e-01,1.5447000000000000e+04,"A3",4.2259999999999998e+01,685658700.0000,1416799189.0957,1.6600000000000000e+02,5.5602975246921107e-02,2.5940000000000001e+01,2.5376700000000001e+03,"Northeastern CT COG"
"PLAINVILLE","VR",2.0060000000000000e+03,1.1100000000000000e+02,1.1000000000000000e+02,"H",25244360.0000,19200408.0000,45552576.0000,7497864.0000,13518669.0000,33402259.0000,48683949.0000,30811412.0000,3576694.0000,47330344.0000,260000.0000,260000.0000,2050084.0000,2050084.0000,-436479.0000,-86231.0000,-436479.0000,0.0000,,31084277.0000,31084277.0000,777908.0000,1350000.0000,6613314.0000,"N",5835406.0000,"N","N",32952607.0000,32179793.0000,9.7654771290174402e-01,34479388.0000,32940141.0000,9.5535747328229836e-01,1.7312000000000000e+04,"A1",9.7599999999999998e+00,941997030.0000,2005566044.0706,1.2900000000000000e+02,4.4759493670886073e-02,3.4500000000000000e+01,2.6378299999999999e+03,"Central CT RPA"
"PLYMOUTH","IT",2.0060000000000000e+03,1.1200000000000000e+02,1.1100000000000000e+02,"L",47528984.0000,-5790922.0000,61560593.0000,9060197.0000,11144450.0000,22583139.0000,35226497.0000,21167759.0000,2363268.0000,33934046.0000,100000.0000,100000.0000,1086658.0000,1086658.0000,305793.0000,279075.0000,305793.0000,0.0000,,17716966.0000,17716966.0000,336196.0000,200000.0000,2118148.0000,"N",1781952.0000,"N","N",22120621.0000,21362156.0000,9.6571230979455780e-01,23519583.0000,22103326.0000,9.3978392389014720e-01,1.2164000000000000e+04,"A2",2.1719999999999999e+01,539697817.0000,1121846151.8798,8.3000000000000000e+01,5.1396316102198455e-02,4.0700000000000003e+01,2.0401100000000001e+03,"Central CT RPA"
"POMFRET","IT",2.0060000000000000e+03,1.1300000000000000e+02,1.1200000000000000e+02,"W",8386801.0000,2084211.0000,10689047.0000,487398.0000,4067629.0000,5994021.0000,10454079.0000,8060948.0000,633211.0000,10020126.0000,15287.0000,15287.0000,550000.0000,550000.0000,-100760.0000,65833.0000,-100760.0000,0.0000,,700230.0000,700230.0000,224551.0000,281742.0000,1428412.0000,"N",1203861.0000,"N","N",5924367.0000,5887010.0000,9.9369434742986040e-01,5993176.0000,5932070.0000,9.8980407049617769e-01,4.1730000000000000e+03,"A3",4.0289999999999999e+01,323494330.0000,467513311.4286,1.2000000000000000e+01,4.3264942016057094e-02,1.8219999999999999e+01,7.7497000000000003e+02,"Northeastern CT COG"
"PORTLAND","IT",2.0060000000000000e+03,1.1400000000000000e+02,1.1300000000000000e+02,"M",49186268.0000,6592142.0000,57338053.0000,1699306.0000,5317146.0000,21008184.0000,27127013.0000,16798947.0000,3124212.0000,25764994.0000,0.0000,0.0000,1245648.0000,1245648.0000,116371.0000,175408.0000,116371.0000,0.0000,,29330499.0000,29330499.0000,140133.0000,1338723.0000,2568382.0000,"N",2428249.0000,"N","N",20759927.0000,20441128.0000,9.8464353944982563e-01,21302661.0000,20727594.0000,9.7300492177949038e-01,9.5950000000000000e+03,"A2",2.3400000000000002e+01,550156080.0000,1155149635.3678,6.5000000000000000e+01,3.6439552097172138e-02,3.7240000000000002e+01,1.4230300000000000e+03,"Midstate RPA"
"PRESTON","IT",2.0060000000000000e+03,1.1500000000000000e+02,1.1400000000000000e+02,"NL",12068924.0000,3136036.0000,15249896.0000,-240707.0000,4978013.0000,7236273.0000,13278612.0000,9465177.0000,1522436.0000,12979722.0000,375.0000,4348548.0000,339595.0000,4569336.0000,-40330.0000,219066.0000,78102.0000,0.0000,,6378596.0000,6378596.0000,375363.0000,0.0000,1520337.0000,"N",1144974.0000,"N","N",7195344.0000,7087545.0000,9.8501822845440046e-01,7359086.0000,7185190.0000,9.7636989158708021e-01,4.8940000000000000e+03,,3.0890000000000001e+01,276104091.0000,563638205.8669,1.7000000000000000e+01,3.6478428621536302e-02,2.5699999999999999e+01,7.6210000000000002e+02,"Southeastern CT COG"
"PROSPECT","VR",2.0060000000000000e+03,1.1600000000000000e+02,1.1500000000000000e+02,"NH",14364704.0000,1421841.0000,15786545.0000,737066.0000,4766511.0000,17506273.0000,22788181.0000,16683577.0000,1348316.0000,23624779.0000,51981.0000,739332.0000,15000.0000,15000.0000,-799617.0000,-214338.0000,-112266.0000,0.0000,20306930.5463,3955949.0000,24262879.5463,0.0000,0.0000,202671.0000,"N",202671.0000,"N","N",17398858.0000,17134800.0000,9.8482325679076177e-01,17914967.0000,17348267.0000,9.6836723171189765e-01,9.2820000000000000e+03,"A3",1.4320000000000000e+01,522700903.0000,1230868614.5910,1.4000000000000000e+01,3.8807111450965395e-02,3.3149999999999999e+01,1.6588199999999999e+03,"COG of Central Naugatuck Valley"
"PUTNAM","IT",2.0060000000000000e+03,1.1700000000000000e+02,1.1600000000000000e+02,"W",25127873.0000,4860712.0000,31889725.0000,551623.0000,8992385.0000,6694788.0000,19643492.0000,14716007.0000,217493.0000,18788622.0000,0.0000,0.0000,700870.0000,700870.0000,154000.0000,752350.0000,154000.0000,0.0000,,720000.0000,720000.0000,462380.0000,1185000.0000,3772228.0000,"N",3309848.0000,"N","N",6553304.0000,6441019.0000,9.8286589482190967e-01,6713903.0000,6538047.0000,9.7380718786077192e-01,9.3250000000000000e+03,"A3",2.0289999999999999e+01,476363980.0000,891231152.0616,1.4200000000000000e+02,5.4165037152913570e-02,1.3550000000000001e+01,1.2543000000000000e+03,"Northeastern CT COG"
"REDDING","VR",2.0060000000000000e+03,1.1800000000000000e+02,1.1700000000000000e+02,"F",19676685.0000,6885957.0000,26565893.0000,-2014973.0000,1530690.0000,33122822.0000,37201345.0000,26540714.0000,1670570.0000,36729526.0000,0.0000,0.0000,803630.0000,803630.0000,-331811.0000,-156714.0000,-331811.0000,0.0000,15271875.8334,15944134.0000,31216009.8334,0.0000,1716179.0000,3894568.0000,"Y",3894568.0000,"N","N",32824519.0000,32555387.0000,9.9180088518585752e-01,33464458.0000,32912708.0000,9.8351235809646165e-01,8.9190000000000000e+03,"Aa1",3.1500000000000000e+01,1469023857.0000,2785546227.7438,5.0000000000000000e+00,2.8220594571305473e-02,2.2740000000000002e+01,1.7942800000000000e+03,"Housatonic Council of Elected Ofcls"
"RIDGEFIELD","IT",2.0060000000000000e+03,1.1900000000000000e+02,1.1800000000000000e+02,"F",50382144.0000,14309845.0000,66413995.0000,6731967.0000,6176504.0000,95539518.0000,110914321.0000,67019707.0000,14862341.0000,107834966.0000,189140.0000,189140.0000,1111738.0000,1111738.0000,2156757.0000,-2240968.0000,2156757.0000,0.0000,,132487001.0000,132487001.0000,440412.0000,0.0000,8136868.0000,"N",7696456.0000,"N","N",95159220.0000,94428055.0000,9.9231640402264754e-01,96984606.0000,95022848.0000,9.7977248059346655e-01,2.4044000000000000e+04,"Aaa",3.4430000000000000e+01,4104268819.0000,7917590872.2266,5.0000000000000000e+00,2.8593709383935535e-02,2.3420000000000002e+01,5.5854499999999998e+03,"Housatonic Council of Elected Ofcls"
"ROCKY HILL","IT",2.0060000000000000e+03,1.2000000000000000e+02,1.1900000000000000e+02,"H",26250286.0000,4946136.0000,31323503.0000,-1700562.0000,5885839.0000,41265045.0000,49881571.0000,24761249.0000,2659288.0000,49949841.0000,0.0000,0.0000,90550.0000,90550.0000,-158820.0000,1204288.0000,-158820.0000,0.0000,,26558666.0000,26558666.0000,158148.0000,306013.0000,4155833.0000,"N",3997685.0000,"N","N",40962333.0000,40709569.0000,9.9382935537387485e-01,41843934.0000,41050110.0000,9.8102893480330988e-01,1.8835000000000000e+04,"Aa3",1.3450000000000001e+01,1606486790.0000,2717981444.7896,2.7000000000000000e+01,3.5961666192238353e-02,2.5800000000000001e+01,2.5632600000000002e+03,"Capital Region COG"
"ROXBURY","IT",2.0060000000000000e+03,1.2100000000000000e+02,1.2000000000000000e+02,"L",10483525.0000,2121141.0000,15080158.0000,351458.0000,364992.0000,7518158.0000,8344086.0000,5437401.0000,120340.0000,7782906.0000,0.0000,0.0000,702750.0000,702750.0000,-141570.0000,75658.0000,-141570.0000,0.0000,910187.9714,110000.0000,1020187.9714,0.0000,338895.0000,2086139.0000,"N",2086139.0000,"N","N",7487366.0000,7453643.0000,9.9549601288356948e-01,7526345.0000,7473977.0000,9.9304204099068005e-01,2.3440000000000000e+03,,2.6219999999999999e+01,484971330.0000,919653863.7001,0.0000000000000000e+00,2.4944974321349962e-02,1.5400000000000000e+01,3.3909000000000003e+02,"Northwestern CT COG"
"SALEM","VR",2.0060000000000000e+03,1.2200000000000000e+02,1.2100000000000000e+02,"NL",11432888.0000,2730889.0000,14235564.0000,665345.0000,3620973.0000,8793429.0000,12853451.0000,9164711.0000,510580.0000,12492040.0000,159882.0000,159882.0000,315000.0000,315000.0000,206293.0000,319256.0000,206293.0000,0.0000,,2790000.0000,2790000.0000,57451.0000,64781.0000,1847649.0000,"N",1790198.0000,"N","N",8748263.0000,8635584.0000,9.8711984310485412e-01,8860725.0000,8705749.0000,9.8250978334165662e-01,4.1000000000000000e+03,"A3",2.8949999999999999e+01,270066677.0000,555723753.3039,8.0000000000000000e+00,3.4151957022256332e-02,3.2399999999999999e+01,8.2913999999999999e+02,"Southeastern CT COG"
"SALISBURY","VR",2.0060000000000000e+03,1.2300000000000000e+02,1.2200000000000000e+02,"L",8212407.0000,4227790.0000,14204603.0000,572324.0000,645875.0000,10136918.0000,11645203.0000,6771173.0000,369963.0000,10401999.0000,0.0000,0.0000,608932.0000,608932.0000,634272.0000,251525.0000,634272.0000,0.0000,1203030.7243,1395000.0000,2598030.7243,195614.0000,436323.0000,2114738.0000,"N",1919124.0000,"N","N",9925754.0000,9785636.0000,9.8588338981602808e-01,10225367.0000,9895890.0000,9.6777846702225945e-01,4.0470000000000000e+03,"A1",5.7320000000000000e+01,645654250.0000,1467269419.3033,1.2000000000000000e+01,3.4062023385866801e-02,1.5300000000000001e+01,4.5185000000000002e+02,"Northwestern CT COG"
"SCOTLAND","VR",2.0060000000000000e+03,1.2400000000000000e+02,1.2300000000000000e+02,"W",2827175.0000,2627492.0000,5518625.0000,249018.0000,1751783.0000,3108575.0000,5063479.0000,3894556.0000,268017.0000,4962432.0000,5597.0000,5597.0000,17300.0000,17300.0000,89344.0000,-152312.0000,89344.0000,0.0000,,2100000.0000,2100000.0000,400886.0000,0.0000,897801.0000,"Y",496915.0000,"N","N",3073497.0000,2978236.0000,9.6900566358125617e-01,3337198.0000,3050188.0000,9.1399671221186152e-01,1.7240000000000000e+03,"A3",1.8609999999999999e+01,92515674.0000,172413629.1792,5.0000000000000000e+00,2.7245206861755803e-02,3.2799999999999997e+01,2.8024000000000001e+02,"Windham Region COG"
"SEYMOUR","VR",2.0060000000000000e+03,1.2500000000000000e+02,1.2400000000000000e+02,"NH",37398610.0000,1786908.0000,39461209.0000,5122720.0000,14014324.0000,31013606.0000,46711038.0000,28385044.0000,3845971.0000,44991282.0000,227253.0000,242523.0000,1170877.0000,1170877.0000,776132.0000,420109.0000,791402.0000,0.0000,,41044378.0000,41044378.0000,271182.0000,0.0000,3993569.0000,"N",3722387.0000,"N","N",30387706.0000,29821433.0000,9.8136506256839529e-01,31153021.0000,30214639.0000,9.6987829848026619e-01,1.6249000000000000e+04,"A3",1.4570000000000000e+01,942383722.0000,2031618972.5928,8.3000000000000000e+01,4.4595782073813706e-02,3.2039999999999999e+01,2.5632300000000000e+03,"Valley COG"
"SHARON","VR",2.0060000000000000e+03,1.2600000000000000e+02,1.2500000000000000e+02,"L",4333455.0000,2451857.0000,6785312.0000,454532.0000,796369.0000,7550264.0000,8810294.0000,5517068.0000,322609.0000,9335183.0000,9000.0000,798233.0000,203617.0000,203617.0000,-719506.0000,-194699.0000,69727.0000,0.0000,1054965.1298,2042975.0000,3097940.1298,198032.0000,50000.0000,1230782.0000,"N",1032750.0000,"N","N",7481403.0000,7371793.0000,9.8534900472545051e-01,7758540.0000,7499588.0000,9.6662361733006463e-01,3.0580000000000000e+03,"A1",5.8700000000000003e+01,525097295.0000,966939124.2433,2.0000000000000000e+00,2.5128865979381444e-02,1.4200000000000001e+01,3.3760000000000002e+02,"Northwestern CT COG"
"SHELTON","VR",2.0060000000000000e+03,1.2700000000000000e+02,1.2600000000000000e+02,"F",66140032.0000,6472600.0000,72661558.0000,13142144.0000,10836875.0000,79814670.0000,96511265.0000,59144590.0000,7198178.0000,93410035.0000,432582.0000,432582.0000,145619.0000,145619.0000,3388193.0000,-78274.0000,3388193.0000,0.0000,,39670000.0000,39670000.0000,1231158.0000,2730000.0000,8325180.0000,"N",7094022.0000,"N","Y",78912139.0000,78342633.0000,9.9278303684050440e-01,79935451.0000,78889998.0000,9.8692128477513685e-01,4.0217000000000000e+04,"Aa3",3.0570000000000000e+01,3305113290.0000,7423783121.0008,1.3800000000000000e+02,3.7545221918291717e-02,2.3590000000000000e+01,5.8278699999999999e+03,"Valley COG"
"SHERMAN","VR",2.0060000000000000e+03,1.2800000000000000e+02,1.2700000000000000e+02,"F",9830278.0000,1386815.0000,11217093.0000,77929.0000,996261.0000,9394994.0000,10977736.0000,7606951.0000,882820.0000,11041026.0000,4412.0000,4412.0000,246796.0000,246796.0000,-305674.0000,-423135.0000,-305674.0000,0.0000,,6540000.0000,6540000.0000,0.0000,0.0000,563166.0000,"Y",563166.0000,"N","N",9350263.0000,9325572.0000,9.9735932561469132e-01,9374178.0000,9347356.0000,9.9713873579102086e-01,4.1460000000000000e+03,"A1",2.1800000000000001e+01,644583918.0000,1072393333.6236,7.0000000000000000e+00,2.9162746942615239e-02,1.4500000000000000e+01,6.7272000000000003e+02,"Housatonic Council of Elected Ofcls"
"SIMSBURY","VR",2.0060000000000000e+03,1.2900000000000000e+02,1.2800000000000000e+02,"H",61353651.0000,17816187.0000,79169838.0000,10725454.0000,6756843.0000,69323250.0000,79027965.0000,55983288.0000,5530879.0000,76206037.0000,171546.0000,171546.0000,1812987.0000,1812987.0000,1180487.0000,1458257.0000,1180487.0000,0.0000,,48540022.0000,48540022.0000,383046.0000,0.0000,9270813.0000,"N",8887767.0000,"N","N",69118510.0000,68671425.0000,9.9353161692866354e-01,69717050.0000,68995114.0000,9.8964477125753314e-01,2.3660000000000000e+04,"Aa1",3.3880000000000003e+01,1948750851.0000,3687323416.5762,2.2000000000000000e+01,3.0522765598650928e-02,3.5200000000000003e+01,5.0627399999999998e+03,"Capital Region COG"
"SOMERS","VR",2.0060000000000000e+03,1.3000000000000000e+02,1.2900000000000000e+02,"T",34091150.0000,5663831.0000,40033865.0000,3431011.0000,10677406.0000,14828059.0000,26774215.0000,17558919.0000,2832494.0000,25567044.0000,208119.0000,5908119.0000,1519452.0000,7161452.0000,-104162.0000,71268.0000,-46162.0000,0.0000,,18781996.0000,18781996.0000,329886.0000,272812.0000,3565914.0000,"N",3236028.0000,"N","N",14634996.0000,14495007.0000,9.9043464036478046e-01,15110215.0000,14660583.0000,9.7024317655308012e-01,1.0888000000000000e+04,"A1",2.8340000000000000e+01,722727104.0000,1034451474.2857,2.4000000000000000e+01,4.3525102348631758e-02,2.0250000000000000e+01,1.7235599999999999e+03,"Capital Region COG"
"SOUTH WINDSOR","VR",2.0060000000000000e+03,1.3100000000000000e+02,1.3200000000000000e+02,"H",71107347.0000,9924586.0000,84057671.0000,2680419.0000,15159936.0000,64738560.0000,82301954.0000,53900158.0000,3862642.0000,78397486.0000,66044.0000,87614.0000,3282688.0000,3282688.0000,687824.0000,1415290.0000,709394.0000,0.0000,,27933463.0000,27933463.0000,1692424.0000,1300000.0000,7398704.0000,"N",5706280.0000,"N","Y",64873761.0000,63927887.0000,9.8541977549289916e-01,67407793.0000,64343215.0000,9.5453674028461366e-01,2.6030000000000000e+04,"Aa3",2.7960000000000001e+01,2008550193.0000,3563086894.2557,4.0000000000000000e+01,3.3464160297459203e-02,3.1949999999999999e+01,5.2382200000000003e+03,"Capital Region COG"
"SOUTHBURY","VR",2.0060000000000000e+03,1.3200000000000000e+02,1.3000000000000000e+02,"NH",28707053.0000,14720336.0000,43427389.0000,7325918.0000,2008893.0000,47921035.0000,52880185.0000,37082411.0000,1407577.0000,50553671.0000,124534.0000,124534.0000,1601940.0000,1601940.0000,849108.0000,265948.0000,849108.0000,0.0000,26393150.1495,14306904.0000,40700054.1495,428684.0000,3240000.0000,6118926.0000,"N",5690242.0000,"N","N",47678262.0000,47445060.0000,9.9510884016703460e-01,48006332.0000,47620880.0000,9.9197080918408842e-01,1.9722000000000000e+04,"Aa3",3.9060000000000002e+01,1996519701.0000,3527670227.5149,2.8000000000000000e+01,3.5263921437339585e-02,2.3900000000000002e+01,3.3267300000000000e+03,"COG of Central Naugatuck Valley"
"SOUTHINGTON","VR",2.0060000000000000e+03,1.3300000000000000e+02,1.3100000000000000e+02,"H",63374000.0000,-3053000.0000,61240000.0000,4184000.0000,24762000.0000,79246000.0000,108823000.0000,71773000.0000,5004000.0000,105473000.0000,0.0000,0.0000,2007000.0000,2007000.0000,1343000.0000,2071000.0000,1343000.0000,0.0000,,51020000.0000,51020000.0000,414000.0000,1580000.0000,9353000.0000,"N",8939000.0000,"N","N",78877000.0000,77798000.0000,9.8632047364884567e-01,81119000.0000,78779000.0000,9.7115349055091904e-01,4.2249000000000000e+04,"A1",3.5990000000000002e+01,2660479377.0000,5603060534.7431,1.5000000000000000e+02,3.7393027275409975e-02,2.9430000000000000e+01,6.8006800000000003e+03,"Central CT RPA"
"SPRAGUE","VR",2.0060000000000000e+03,1.3400000000000000e+02,1.3300000000000000e+02,"NL",5381945.0000,3163685.0000,8546880.0000,497322.0000,3012931.0000,4541066.0000,8034395.0000,5895301.0000,2818340.0000,10343249.0000,31733.0000,1995733.0000,200026.0000,200026.0000,-2477147.0000,-267624.0000,-513147.0000,0.0000,,3060000.0000,3060000.0000,221390.0000,0.0000,1703718.0000,"Y",1482328.0000,"N","N",4545764.0000,4416083.0000,9.7147212217792211e-01,4801919.0000,4473362.0000,9.3157797955359101e-01,2.9860000000000000e+03,"A3",1.3210000000000001e+01,192863647.0000,288754752.8571,3.9000000000000000e+01,5.5061179087875417e-02,2.3500000000000000e+01,4.7144999999999999e+02,"Southeastern CT COG"
"STAFFORD","VR",2.0060000000000000e+03,1.3500000000000000e+02,1.3400000000000000e+02,"T",41260666.0000,3109405.0000,53871700.0000,16131234.0000,12465468.0000,18792181.0000,32545631.0000,21811543.0000,2599162.0000,31760650.0000,389825.0000,10841670.0000,1156402.0000,10281402.0000,18404.0000,195318.0000,1345249.0000,0.0000,,21023070.0000,21023070.0000,328793.0000,0.0000,3973538.0000,"N",3644745.0000,"N","N",18620496.0000,18134749.0000,9.7391331573552065e-01,19546449.0000,18526608.0000,9.4782474300063402e-01,1.1826000000000000e+04,"A3",5.7950000000000003e+01,507654633.0000,1149312291.4677,8.3000000000000000e+01,4.4918668855394715e-02,3.6369999999999997e+01,1.9915900000000001e+03,
"STAMFORD","VR",2.0060000000000000e+03,1.3600000000000000e+02,1.3500000000000000e+02,"F",148683252.0000,88424733.0000,237107985.0000,47695981.0000,38510261.0000,326984784.0000,389612700.0000,207702919.0000,38782044.0000,357732749.0000,3051980.0000,3051980.0000,37228715.0000,37228715.0000,-2296784.0000,4281756.0000,-2296784.0000,0.0000,,343856190.0000,343856190.0000,11055791.0000,1420417.0000,19244906.0000,"N",8189115.0000,"N","N",323570472.0000,318686321.0000,9.8490544897434273e-01,331881518.0000,322429723.0000,9.7152057439968686e-01,1.1948300000000000e+05,"Aaa",3.7710000000000001e+01,11036188815.0000,32333100323.5201,5.9500000000000000e+02,3.6244501466275662e-02,2.9810000000000002e+01,1.5283270000000000e+04,"South Western RPA"
"STERLING","VR",2.0060000000000000e+03,1.3700000000000000e+02,1.3600000000000000e+02,"W",5309893.0000,7432222.0000,12746247.0000,4418468.0000,3451627.0000,5143440.0000,9149123.0000,6497164.0000,172588.0000,8057587.0000,7162.0000,7162.0000,673805.0000,673805.0000,424893.0000,123153.0000,424893.0000,0.0000,,6300000.0000,6300000.0000,357782.0000,0.0000,1390088.0000,"Y",1032306.0000,"N","N",5047387.0000,4862266.0000,9.6332339882002316e-01,5325306.0000,5014496.0000,9.4163527879900233e-01,3.6570000000000000e+03,"A3",2.7230000000000000e+01,164361661.0000,395348138.5956,2.4000000000000000e+01,4.6789447486311600e-02,3.0250000000000000e+01,6.2290999999999997e+02,"Northeastern CT COG"
"STONINGTON","VR",2.0060000000000000e+03,1.3800000000000000e+02,1.3700000000000000e+02,"NL",40388037.0000,10068986.0000,50607999.0000,6022322.0000,4631250.0000,41799265.0000,50804955.0000,28775556.0000,4116901.0000,47192253.0000,400000.0000,400000.0000,2822760.0000,2822760.0000,1189942.0000,1401795.0000,1189942.0000,0.0000,,44494045.0000,44494045.0000,151919.0000,0.0000,7253304.0000,"N",7101385.0000,"N","N",41651054.0000,41344122.0000,9.9263087075779644e-01,42007004.0000,41645173.0000,9.9138641260871641e-01,1.8262000000000000e+04,"Aa3",3.8680000000000000e+01,2050330220.0000,4225653292.1282,9.8000000000000000e+01,2.8853527607361963e-02,2.0219999999999999e+01,2.5961399999999999e+03,"Southeastern CT COG"
"STRATFORD","VR",2.0060000000000000e+03,1.3900000000000000e+02,1.3800000000000000e+02,"F",43228695.0000,-34057839.0000,11941890.0000,-6287195.0000,30270697.0000,121671365.0000,159438873.0000,80837801.0000,19753350.0000,159806871.0000,253500.0000,253500.0000,648289.0000,648289.0000,-762787.0000,-866155.0000,-762787.0000,0.0000,,155821018.0000,155821018.0000,1016686.0000,0.0000,8248333.0000,"N",7231647.0000,"N","N",119631515.0000,117629384.0000,9.8326418419092998e-01,125637496.0000,120112053.0000,9.5602074877391696e-01,4.9607000000000000e+04,"A1",1.7580000000000002e+01,4482742988.0000,6479015268.5714,3.6600000000000000e+02,4.6779740503360950e-02,2.6980000000000000e+01,7.7171599999999999e+03,"Greater Bridgeport RPA"
