TANF13%,TANF12%,MUNICIPALITY,numbered,2012 TANF RECIPIENTS,2013 TANF RECIPIENTS,SortID
8.8907705334462315e-04,1.3124470787468248e-03,"SIMSBURY",1.2900000000000000e+02,3.1000000000000000e+01,2.1000000000000000e+01,138
8.6114101184068897e-04,5.7409400789379264e-04,"ORANGE",1.0800000000000000e+02,8.0000000000000000e+00,1.2000000000000000e+01,139
8.4889643463497452e-04,1.1318619128466328e-03,"WASHINGTON",1.5100000000000000e+02,4.0000000000000000e+00,3.0000000000000000e+00,140
7.6540375047837736e-04,4.9204526816467112e-04,"MADISON",7.7000000000000000e+01,9.0000000000000000e+00,1.4000000000000000e+01,141
7.2734829592684960e-04,8.3125519534497092e-04,"HEBRON",6.8000000000000000e+01,8.0000000000000000e+00,7.0000000000000000e+00,142
7.2072072072072073e-04,2.3423423423423423e-03,"BETHANY",8.0000000000000000e+00,1.3000000000000000e+01,4.0000000000000000e+00,143
7.1104304545205929e-04,7.6573866433298692e-04,"AVON",4.0000000000000000e+00,1.4000000000000000e+01,1.3000000000000000e+01,144
7.1042909917590224e-04,4.7361939945060150e-04,"DARIEN",3.5000000000000000e+01,1.0000000000000000e+01,1.5000000000000000e+01,145
7.0671378091872788e-04,1.4134275618374558e-03,"CHESTER",2.6000000000000000e+01,6.0000000000000000e+00,3.0000000000000000e+00,146
7.0193586522831390e-04,7.3887985813506725e-04,"WESTPORT",1.5900000000000000e+02,2.0000000000000000e+01,1.9000000000000000e+01,147
6.1500615006150063e-04,9.2250922509225090e-04,"KILLINGWORTH",7.1000000000000000e+01,6.0000000000000000e+00,4.0000000000000000e+00,148
5.4039448797622261e-04,5.4039448797622261e-04,"SALISBURY",1.2300000000000000e+02,2.0000000000000000e+00,2.0000000000000000e+00,149
4.8309178743961351e-04,5.7971014492753622e-04,"WESTON",1.5800000000000000e+02,6.0000000000000000e+00,5.0000000000000000e+00,150
