Municipality,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Unreserved_Fund_Bal,Fund_Equity_Enterprise,Fund_Equity_Internal_Service,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2002 Population,Moody's_Bond_Ratings_July_2002,area lmt,ACGLFY02,EGL,TANF02 Recipients,empl,ACMR,enrollmt
"SALISBURY",2.0020000000000000e+03,1.2300000000000000e+02,1.2200000000000000e+02,"L",717891.0000,8299421.0000,9832114.0000,5994414.0000,472500.0000,9203579.0000,0.0000,0.0000,601055.0000,601055.0000,27480.0000,121269.0000,27480.0000,1199776.1042,2640000.0000,3839776.1042,0.0000,661961.0000,1281539.0000,1281539.0000,,,8265358.0000,8129810.0000,9.8360046836446768e-01,8611820.0000,8303945.0000,9.6424971724908326e-01,4.0220000000000000e+03,,5.7320000000000000e+01,569821010.0000,815825600.0000,5.0000000000000000e+00,2.7151639344262294e-02,1.4500000000000000e+01,5.1899000000000001e+02
"SCOTLAND",2.0020000000000000e+03,1.2400000000000000e+02,1.2300000000000000e+02,"W",1774859.0000,2457153.0000,4337458.0000,3225280.0000,273603.0000,4208178.0000,2185.0000,2185.0000,19500.0000,19500.0000,111965.0000,3655.0000,111965.0000,0.0000,1780000.0000,1780000.0000,248688.0000,0.0000,1014910.0000,766222.0000,,,2341740.0000,2239015.0000,9.5613304636723118e-01,2575685.0000,2373982.0000,9.2168956995905948e-01,1.5970000000000000e+03,"A3",1.8609999999999999e+01,67777428.0000,111232938.0000,2.0000000000000000e+00,2.4255788313120176e-02,3.3980000000000004e+01,2.6903000000000003e+02
"SEYMOUR",2.0020000000000000e+03,1.2500000000000000e+02,1.2400000000000000e+02,"NH",13212806.0000,23050949.0000,38724793.0000,21480750.0000,3949748.0000,34074332.0000,0.0000,9200633.0000,761925.0000,9962558.0000,3888536.0000,1188353.0000,3888536.0000,,37740167.0000,37740167.0000,5430.0000,0.0000,3840477.0000,3835047.0000,,,22235868.0000,21696188.0000,9.7572930366379218e-01,22937363.0000,22115626.0000,9.6417473970307743e-01,1.5727000000000000e+04,"A3",1.4570000000000000e+01,662868578.0000,1197949985.0000,1.0300000000000000e+02,4.5307816462992853e-02,3.4500000000000000e+01,2.5994099999999999e+03
"SHARON",2.0020000000000000e+03,1.2600000000000000e+02,1.2500000000000000e+02,"L",680416.0000,5938459.0000,6975078.0000,4255864.0000,464030.0000,6659593.0000,7850.0000,7850.0000,128042.0000,128042.0000,195293.0000,2364.0000,195293.0000,722971.0395,2195000.0000,2917971.0395,73626.0000,50000.0000,724800.0000,651174.0000,2951424.0000,,5874543.0000,5764910.0000,9.8133761213425452e-01,6139834.0000,5864551.0000,9.5516442301208793e-01,3.0080000000000000e+03,"A1",5.8700000000000003e+01,351297558.0000,515273572.0000,4.0000000000000000e+00,2.2965879265091863e-02,1.6699999999999999e+01,3.6905000000000001e+02
"SHELTON",2.0020000000000000e+03,1.2700000000000000e+02,1.2600000000000000e+02,"F",9547733.0000,65768581.0000,81532971.0000,49152572.0000,5817161.0000,77741675.0000,1177154.0000,1177154.0000,3775158.0000,3775158.0000,1193292.0000,1152597.0000,1193292.0000,,28745000.0000,28745000.0000,1113732.0000,3876025.0000,9239127.0000,8125395.0000,,-875235.0000,64236688.0000,63476329.0000,9.8816316619561706e-01,65560974.0000,64206407.0000,9.7933882129328953e-01,3.8845000000000000e+04,"Aa3",3.0570000000000000e+01,2490750230.0000,4721380531.0000,1.5200000000000000e+02,4.1726352756342129e-02,2.5590000000000000e+01,5.5008500000000004e+03
"SHERMAN",2.0020000000000000e+03,1.2800000000000000e+02,1.2700000000000000e+02,"F",559893.0000,7555448.0000,8699006.0000,5339440.0000,1028046.0000,8402892.0000,57408.0000,57408.0000,38516.0000,38516.0000,315006.0000,-6226548.0000,315006.0000,,8250000.0000,8250000.0000,0.0000,167809.0000,1030889.0000,1030889.0000,,,7523737.0000,7497805.0000,9.9655330854866409e-01,7565690.0000,7535121.0000,9.9595952252867881e-01,3.9720000000000000e+03,"A1",2.1800000000000001e+01,375201543.0000,610452434.0000,8.0000000000000000e+00,2.5954946131243880e-02,1.9900000000000002e+01,6.3789999999999998e+02
"SIMSBURY",2.0020000000000000e+03,1.2900000000000000e+02,1.2800000000000000e+02,"H",5092290.0000,54637178.0000,61574176.0000,44471413.0000,2920525.0000,60616071.0000,353521.0000,353521.0000,1800436.0000,1800436.0000,-488810.0000,-70853.0000,-488810.0000,,14005328.0000,14005328.0000,474049.0000,0.0000,4703859.0000,4229810.0000,,351952.0000,54635283.0000,54191957.0000,9.9188571970973405e-01,55372440.0000,54421779.0000,9.8283151329433915e-01,2.3421000000000000e+04,"Aa1",3.3880000000000003e+01,1490923309.0000,2780634720.0000,1.7000000000000000e+01,2.8532141629425918e-02,3.6300000000000004e+01,4.9978400000000001e+03
"SOMERS",2.0020000000000000e+03,1.3000000000000000e+02,1.2900000000000000e+02,"T",9413693.0000,11642702.0000,22289945.0000,14550114.0000,2499773.0000,21620867.0000,391025.0000,6825238.0000,413791.0000,6801024.0000,646312.0000,285673.0000,693292.0000,,19345790.0000,19345790.0000,0.0000,634832.0000,3882163.0000,3882163.0000,,,11578071.0000,11490306.0000,9.9241972173084791e-01,11938249.0000,11564298.0000,9.6867622714185309e-01,1.0608000000000000e+04,"A1",2.8340000000000000e+01,452342325.0000,807084498.0000,1.2000000000000000e+01,4.1038154392191661e-02,2.5260000000000002e+01,1.6631700000000001e+03
"SOUTH WINDSOR",2.0020000000000000e+03,1.3100000000000000e+02,1.3200000000000000e+02,"H",13451774.0000,50878270.0000,66622205.0000,43720887.0000,4213151.0000,64003566.0000,70897.0000,70897.0000,2536026.0000,2536026.0000,153510.0000,740484.0000,153510.0000,,36050693.0000,36050693.0000,1047222.0000,1300000.0000,6334962.0000,5287740.0000,,,50843046.0000,50037537.0000,9.8415694842515922e-01,52872146.0000,50624828.0000,9.5749523766256817e-01,2.4846000000000000e+04,"Aa3",2.7960000000000001e+01,1399953331.0000,2451911064.0000,5.4000000000000000e+01,3.3667830133798718e-02,3.6009999999999998e+01,5.0825100000000002e+03
"SOUTHBURY",2.0020000000000000e+03,1.3200000000000000e+02,1.3000000000000000e+02,"NH",2294985.0000,36751499.0000,41417839.0000,28666105.0000,169780.0000,39046272.0000,0.0000,0.0000,2018974.0000,2018974.0000,352593.0000,724291.0000,352593.0000,11776174.8923,393511.0000,12169685.8923,1131036.0000,1330000.0000,9560891.0000,8429855.0000,,188897.0000,36396454.0000,36089080.0000,9.9155483663326105e-01,37187740.0000,36456877.0000,9.8034666801478121e-01,1.8953000000000000e+04,,3.9060000000000002e+01,1474486983.0000,2768025898.0000,1.8000000000000000e+01,3.2368576491435319e-02,2.4500000000000000e+01,3.1472000000000003e+03
"SOUTHINGTON",2.0020000000000000e+03,1.3300000000000000e+02,1.3100000000000000e+02,"H",23016496.0000,62285713.0000,88917154.0000,56041843.0000,4961916.0000,84358615.0000,14.0000,14.0000,2730758.0000,2730758.0000,1827795.0000,-208091.0000,1827795.0000,,38515000.0000,38515000.0000,343293.0000,1787643.0000,8921971.0000,8578678.0000,31624233.0000,-339722.0000,61521421.0000,60525234.0000,9.8380747739880714e-01,63393930.0000,61550222.0000,9.7091664769797359e-01,4.0943000000000000e+04,"A1",3.5990000000000002e+01,2112678245.0000,3660673433.0000,1.8300000000000000e+02,3.7686240140227867e-02,2.8900000000000002e+01,6.6883100000000004e+03
"SPRAGUE",2.0020000000000000e+03,1.3400000000000000e+02,1.3300000000000000e+02,"NL",2920987.0000,3212606.0000,6316876.0000,4756671.0000,294069.0000,6310582.0000,52870.0000,52870.0000,152193.0000,152193.0000,-93029.0000,206170.0000,-93029.0000,,2125323.0000,2125323.0000,193322.0000,1024839.0000,1261607.0000,1068285.0000,1645687.0000,,3163341.0000,3086337.0000,9.7565738249527956e-01,3442581.0000,3158243.0000,9.1740557448031002e-01,2.9710000000000000e+03,"A3",1.3210000000000001e+01,124507867.0000,192921400.0000,3.4000000000000000e+01,4.9539170506912443e-02,2.5250000000000000e+01,5.3452999999999997e+02
"STAFFORD",2.0020000000000000e+03,1.3500000000000000e+02,1.3400000000000000e+02,"T",12810032.0000,13717957.0000,27922138.0000,18215250.0000,2883900.0000,27328006.0000,510570.0000,510570.0000,716246.0000,716246.0000,388456.0000,-576844.0000,388456.0000,,17275494.0000,17275494.0000,185096.0000,0.0000,2983797.0000,2798701.0000,2145504.0000,,13377717.0000,12955341.0000,9.6842689974679541e-01,14573468.0000,13387885.0000,9.1864784689546786e-01,1.1592000000000000e+04,"A3",5.7950000000000003e+01,465928380.0000,686102221.0000,1.0000000000000000e+02,4.1216424822476075e-02,2.8590000000000000e+01,2.0210900000000001e+03
"STAMFORD",2.0020000000000000e+03,1.3600000000000000e+02,1.3500000000000000e+02,"F",22077022.0000,266706172.0000,316619272.0000,166654110.0000,25967475.0000,300891913.0000,3737931.0000,3737931.0000,29234607.0000,29234607.0000,-9769317.0000,1197250.0000,-9769317.0000,,270940663.0000,270940663.0000,4089821.0000,0.0000,5202300.0000,1112479.0000,23851232.0000,535140.0000,262957476.0000,258409017.0000,9.8270268231506752e-01,275838017.0000,262678722.0000,9.5229339616373476e-01,1.1985000000000000e+05,"Aaa",3.7710000000000001e+01,10797837306.0000,21595486805.0000,8.0700000000000000e+02,3.9895669352100503e-02,2.4570000000000000e+01,1.5442880000000001e+04
"STERLING",2.0020000000000000e+03,1.3700000000000000e+02,1.3600000000000000e+02,"W",3222451.0000,3123803.0000,6692308.0000,4926609.0000,208963.0000,6313250.0000,184.0000,184.0000,164857.0000,164857.0000,214385.0000,-69678.0000,214385.0000,,880000.0000,880000.0000,123270.0000,0.0000,1315502.0000,1192232.0000,1479855.0000,169846.0000,3028473.0000,2881439.0000,9.5144945984329399e-01,3332901.0000,3039320.0000,9.1191427528150404e-01,3.2040000000000000e+03,,2.7230000000000000e+01,118110013.0000,199295889.0000,1.8000000000000000e+01,4.7459519821328865e-02,2.5000000000000000e+01,5.8597000000000003e+02
"STONINGTON",2.0020000000000000e+03,1.3800000000000000e+02,1.3700000000000000e+02,"NL",5019402.0000,32860041.0000,40540953.0000,23502315.0000,3408310.0000,40206317.0000,568143.0000,568143.0000,616363.0000,616363.0000,286416.0000,466985.0000,286416.0000,,26029138.0000,26029138.0000,671306.0000,0.0000,2270868.0000,1599562.0000,54678617.0000,1073774.0000,32556732.0000,32198001.0000,9.8898135721976022e-01,33089536.0000,32606586.0000,9.8540475152023888e-01,1.8084000000000000e+04,"Aa3",3.8680000000000000e+01,1233645545.0000,2371702784.0000,1.2200000000000000e+02,2.9554696023009024e-02,2.6210000000000001e+01,2.4478000000000002e+03
"STRATFORD",2.0020000000000000e+03,1.3900000000000000e+02,1.3800000000000000e+02,"F",24112780.0000,101466156.0000,129594496.0000,67749446.0000,20582492.0000,129218159.0000,74044.0000,9542296.0000,490044.0000,10125629.0000,-39663.0000,-1689405.0000,-206996.0000,,179117061.0000,179117061.0000,454896.0000,11313462.0000,11768358.0000,11313462.0000,20170864.0000,,99628169.0000,96800107.0000,9.7161383142552782e-01,105940985.0000,99561045.0000,9.3977835867771098e-01,5.0171000000000000e+04,"A1",1.7580000000000002e+01,2890970081.0000,4578326059.0000,3.6700000000000000e+02,4.7190215895237718e-02,3.4680000000000000e+01,7.6075600000000004e+03
"SUFFIELD",2.0020000000000000e+03,1.4000000000000000e+02,1.3900000000000000e+02,"H",8913517.0000,20236190.0000,31799419.0000,18107405.0000,3272798.0000,30558589.0000,407000.0000,407000.0000,1279291.0000,1279291.0000,368539.0000,1744066.0000,368539.0000,,36368016.0000,36368016.0000,551057.0000,650000.0000,8283484.0000,7732427.0000,21137320.0000,1163667.0000,20345483.0000,19956551.0000,9.8088361922889711e-01,20842801.0000,20153801.0000,9.6694302267723042e-01,1.4021000000000000e+04,"Aa3",4.2210000000000001e+01,732613670.0000,1227702340.0000,1.9000000000000000e+01,3.8438967136150234e-02,2.7469999999999999e+01,2.2204600000000000e+03
"THOMASTON",2.0020000000000000e+03,1.4100000000000000e+02,1.4000000000000000e+02,"L",6708176.0000,12035417.0000,19114318.0000,10935171.0000,2386012.0000,18227870.0000,751664.0000,751664.0000,1740666.0000,1740666.0000,-102554.0000,75156.0000,-102554.0000,,18533220.0000,18533220.0000,152982.0000,813000.0000,2189110.0000,2036128.0000,,0.0000,11780931.0000,11517712.0000,9.7765719873921675e-01,12291993.0000,11732803.0000,9.5450778405096715e-01,7.7660000000000000e+03,"A2",1.2010000000000000e+01,367236348.0000,617955940.0000,3.2000000000000000e+01,4.7855530474040633e-02,3.2200000000000003e+01,1.3335300000000000e+03
"THOMPSON",2.0020000000000000e+03,1.4200000000000000e+02,1.4100000000000000e+02,"W",8415441.0000,7987433.0000,17792329.0000,12039995.0000,965197.0000,15684796.0000,14771.0000,14771.0000,1161230.0000,1161230.0000,961074.0000,638146.0000,961074.0000,,2101700.0000,2101700.0000,256516.0000,255000.0000,2954523.0000,2698007.0000,,,7904463.0000,7738011.0000,9.7894202300649646e-01,8183569.0000,7872635.0000,9.6200508604497625e-01,9.0640000000000000e+03,"A3",4.6939999999999998e+01,364323186.0000,530020301.0000,5.7000000000000000e+01,4.4338875692794932e-02,2.1640000000000001e+01,1.3987000000000000e+03
"TOLLAND",2.0020000000000000e+03,1.4300000000000000e+02,1.4200000000000000e+02,"T",9872631.0000,22621830.0000,34360543.0000,23445199.0000,1709888.0000,32518515.0000,9099.0000,9099.0000,822205.0000,822205.0000,1028922.0000,72842.0000,1028922.0000,,15054091.0000,15054091.0000,981261.0000,269777.0000,3772691.0000,2791430.0000,2404026.0000,,22536108.0000,22341291.0000,9.9135533961764821e-01,22767453.0000,22506848.0000,9.8855361642780160e-01,1.3945000000000000e+04,"A1",3.9710000000000001e+01,746934864.0000,1073753424.0000,1.1000000000000000e+01,2.9792746113989636e-02,2.9680000000000000e+01,2.9354700000000003e+03
"TORRINGTON",2.0020000000000000e+03,1.4400000000000000e+02,1.4300000000000000e+02,"L",29624577.0000,50288830.0000,84190323.0000,44731363.0000,7535246.0000,82232963.0000,100673.0000,5430673.0000,1419440.0000,6664440.0000,638593.0000,1299138.0000,723593.0000,,60355880.0000,60355880.0000,3174396.0000,1626711.0000,9390213.0000,6215817.0000,,1055463.0000,49985470.0000,49985470.0000,1.0000000000000000e+00,49985470.0000,49985470.0000,1.0000000000000000e+00,3.5655000000000000e+04,"A1",3.9789999999999999e+01,1419543260.0000,2270964506.0000,4.1700000000000000e+02,5.5991459834534296e-02,3.5130000000000003e+01,5.1037500000000000e+03
"TRUMBULL",2.0020000000000000e+03,1.4500000000000000e+02,1.4400000000000000e+02,"F",5482481.0000,80087821.0000,92165890.0000,56722725.0000,7175156.0000,91973502.0000,377000.0000,377000.0000,17472.0000,17472.0000,551916.0000,1284305.0000,551916.0000,,46388390.0000,46388390.0000,148762.0000,610906.0000,5262879.0000,5114117.0000,11064170.0000,-66581.0000,79493304.0000,78182055.0000,9.8350491256471106e-01,81307460.0000,79063726.0000,9.7240432796695409e-01,3.4857000000000000e+04,"Aa2",2.3289999999999999e+01,3317018588.0000,4754943789.0000,5.7000000000000000e+01,3.7110054505392558e-02,2.4000000000000000e+01,6.4178199999999997e+03
"UNION",2.0020000000000000e+03,1.4600000000000000e+02,1.4500000000000000e+02,"T",516681.0000,1103872.0000,1688632.0000,884535.0000,105059.0000,1600324.0000,0.0000,0.0000,87655.0000,87655.0000,653.0000,-19204.0000,653.0000,,758684.0000,758684.0000,0.0000,90000.0000,391781.0000,391781.0000,,,1095806.0000,1067941.0000,9.7457122884890213e-01,1147484.0000,1086379.0000,9.4674871283608308e-01,7.2100000000000000e+02,,2.8710000000000001e+01,47078708.0000,69377151.0000,1.0000000000000000e+00,2.2831050228310501e-02,2.2660000000000000e+01,9.3000000000000000e+01
"VERNON",2.0020000000000000e+03,1.4700000000000000e+02,1.4600000000000000e+02,"T",20121878.0000,37512127.0000,61959487.0000,39536662.0000,3591548.0000,60587641.0000,399830.0000,399830.0000,2059974.0000,2059974.0000,-288298.0000,-358490.0000,-288298.0000,,31259520.0000,31259520.0000,404435.0000,100000.0000,5852954.0000,5448519.0000,9832155.0000,1574014.0000,37456303.0000,36895315.0000,9.8502286784683479e-01,39441899.0000,37329749.0000,9.4644907944214351e-01,2.8718000000000000e+04,"A1",1.7730000000000000e+01,1206054319.0000,1739070399.0000,4.1500000000000000e+02,4.1077358258516786e-02,3.0750000000000000e+01,4.0680599999999999e+03
"VOLUNTOWN",2.0020000000000000e+03,1.4800000000000000e+02,1.4700000000000000e+02,"NL",3342642.0000,2688170.0000,6164509.0000,4895335.0000,412074.0000,6266663.0000,16126.0000,100321.0000,170296.0000,170296.0000,-256324.0000,-471017.0000,-172129.0000,,2924397.0000,2924397.0000,23608.0000,0.0000,695780.0000,672172.0000,,,2614387.0000,2524373.0000,9.6556974923758421e-01,2816774.0000,2610673.0000,9.2683083555869228e-01,2.5790000000000000e+03,"A3",3.8920000000000002e+01,105677312.0000,178208807.0000,1.3000000000000000e+01,4.5161290322580643e-02,2.4500000000000000e+01,5.0261000000000001e+02
"WALLINGFORD",2.0020000000000000e+03,1.4900000000000000e+02,1.4800000000000000e+02,"NH",24805897.0000,72510008.0000,105190292.0000,64033315.0000,4480453.0000,100006380.0000,1890583.0000,1890583.0000,4298667.0000,4298667.0000,2775828.0000,2318178.0000,2775828.0000,,23615000.0000,23615000.0000,5208478.0000,8416921.0000,25580061.0000,20371583.0000,147682837.0000,,66570912.0000,65463612.0000,9.8336660912802276e-01,69204459.0000,66560800.0000,9.6179929677652709e-01,4.3826000000000000e+04,"Aa1",3.9020000000000003e+01,2483554554.0000,4011139532.0000,2.2700000000000000e+02,3.7292932656289017e-02,2.6500000000000000e+01,7.2008699999999999e+03
"WARREN",2.0020000000000000e+03,1.5000000000000000e+02,1.4900000000000000e+02,"L",122674.0000,2777555.0000,3080819.0000,1940328.0000,0.0000,2869961.0000,0.0000,0.0000,54129.0000,54129.0000,156729.0000,63681.0000,156729.0000,1493390.6537,0.0000,1493390.6537,300000.0000,0.0000,1066799.0000,766799.0000,,,2736634.0000,2711265.0000,9.9072985280457670e-01,2780257.0000,2748346.0000,9.8852228409100307e-01,1.3020000000000000e+03,,2.6310000000000002e+01,123841530.0000,276219375.0000,2.0000000000000000e+00,2.8943560057887119e-02,2.2000000000000000e+01,1.7499000000000001e+02
"WASHINGTON",2.0020000000000000e+03,1.5100000000000000e+02,1.5000000000000000e+02,"L",241094.0000,9382360.0000,10329188.0000,6507046.0000,86625.0000,9397512.0000,0.0000,0.0000,1457500.0000,1457500.0000,-525824.0000,-774518.0000,-525824.0000,2331136.0000,660000.0000,2991136.0000,0.0000,247350.0000,2152088.0000,2152088.0000,,,9338860.0000,9204635.0000,9.8562726071490525e-01,9595759.0000,9308647.0000,9.7007928189943082e-01,3.6700000000000000e+03,"Aa3",3.8180000000000000e+01,589690720.0000,1015320111.0000,1.0000000000000000e+01,2.9796131730266597e-02,1.5750000000000000e+01,5.2003999999999996e+02
"WATERBURY",2.0020000000000000e+03,1.5200000000000000e+02,1.5100000000000000e+02,"NH",129371000.0000,159134000.0000,298579000.0000,119448000.0000,10921000.0000,279020000.0000,5480000.0000,104503000.0000,38119000.0000,39275000.0000,-13080000.0000,-51710000.0000,84787000.0000,,164599000.0000,164599000.0000,750000.0000,7500000.0000,14050000.0000,13300000.0000,124793000.0000,2835000.0000,167624000.0000,152670000.0000,9.1078843125089481e-01,200039000.0000,159112000.0000,7.9540489604527120e-01,1.0788300000000000e+05,"Baa2",2.8570000000000000e+01,1680960647.0000,4759379739.0000,4.8540000000000000e+03,7.3716649095774883e-02,9.7799000000000007e+01,1.6702320000000000e+04
"WATERFORD",2.0020000000000000e+03,1.5300000000000000e+02,1.5200000000000000e+02,"NL",3064274.0000,32432094.0000,61703235.0000,32506363.0000,0.0000,53069486.0000,0.0000,155110.0000,6905943.0000,6905943.0000,1727806.0000,312114.0000,1882916.0000,,176618.0000,176618.0000,1623156.0000,0.0000,19199896.0000,17576740.0000,83459902.0000,3405613.0000,32448251.0000,32083485.0000,9.8875853123793944e-01,33078549.0000,32384587.0000,9.7902078473877441e-01,1.8925000000000000e+04,,3.2750000000000000e+01,3205492390.0000,5229629008.0000,5.4000000000000000e+01,3.6836935166994107e-02,1.6899999999999999e+01,3.0921599999999999e+03
"WATERTOWN",2.0020000000000000e+03,1.5400000000000000e+02,1.5300000000000000e+02,"L",15060506.0000,28715005.0000,46232689.0000,28476609.0000,4116703.0000,46137308.0000,270018.0000,270018.0000,184767.0000,184767.0000,180632.0000,-897069.0000,180632.0000,,24383410.0000,24383410.0000,841346.0000,355414.0000,4280184.0000,3438838.0000,15560749.0000,2727093.0000,28458034.0000,28049427.0000,9.8564176991284780e-01,29066736.0000,28444766.0000,9.7860200058238389e-01,2.2100000000000000e+04,"Aa3",2.9150000000000002e+01,1148810387.0000,1903968963.0000,6.7000000000000000e+01,4.4771187840740127e-02,2.4560000000000002e+01,3.6190400000000000e+03
"WEST HARTFORD",2.0020000000000000e+03,1.5500000000000000e+02,1.5500000000000000e+02,"H",16848000.0000,128268000.0000,149564000.0000,87769000.0000,11541000.0000,149255000.0000,2041000.0000,2041000.0000,1793000.0000,1793000.0000,557000.0000,-566000.0000,557000.0000,,89020000.0000,89020000.0000,453000.0000,0.0000,11605000.0000,11152000.0000,9253000.0000,22871000.0000,128280000.0000,126952000.0000,9.8964764577486752e-01,129645000.0000,127559000.0000,9.8390990782521504e-01,6.1365000000000000e+04,"Aaa",2.1980000000000000e+01,3575645530.0000,6096879495.0000,3.4300000000000000e+02,3.5735494463268944e-02,3.5689999999999998e+01,9.6080699999999997e+03
"WEST HAVEN",2.0020000000000000e+03,1.5600000000000000e+02,1.5600000000000000e+02,"NH",46057000.0000,63937000.0000,114183000.0000,68146000.0000,12862000.0000,120007000.0000,1528000.0000,13994000.0000,402000.0000,12868000.0000,-4698000.0000,53330.0000,-4698000.0000,,89570000.0000,89570000.0000,270000.0000,0.0000,7749000.0000,7479000.0000,,4427000.0000,61952000.0000,58042000.0000,9.3688662190082650e-01,74927000.0000,62056000.0000,8.2821946694782922e-01,5.2733000000000000e+04,"A3",1.0830000000000000e+01,1799475393.0000,2624902869.0000,1.2080000000000000e+03,4.7801948392052797e-02,3.4079999999999998e+01,7.8563600000000006e+03
"WESTBROOK",2.0020000000000000e+03,1.5700000000000000e+02,1.5400000000000000e+02,"M",2192458.0000,12554102.0000,15880386.0000,9245562.0000,2342263.0000,15709551.0000,4997.0000,4997.0000,573000.0000,573000.0000,-397168.0000,199833.0000,-397168.0000,,15465000.0000,15465000.0000,0.0000,250000.0000,2130441.0000,2130441.0000,,225780.0000,12430906.0000,12324344.0000,9.9142765619818862e-01,12687279.0000,12442319.0000,9.8069247156935702e-01,6.5070000000000000e+03,"A1",1.5720000000000001e+01,554800180.0000,1100463545.0000,2.0000000000000000e+01,3.9343334276818569e-02,2.2250000000000000e+01,1.0545400000000000e+03
"WESTON",2.0020000000000000e+03,1.5800000000000000e+02,1.5700000000000000e+02,"F",2146048.0000,38327836.0000,41898400.0000,30887995.0000,1993425.0000,40300640.0000,75659.0000,75659.0000,1244082.0000,1244082.0000,429337.0000,-1283057.0000,429337.0000,,14881622.0000,14881622.0000,297694.0000,0.0000,4232763.0000,3935069.0000,259404.0000,-191213.0000,38347892.0000,37927260.0000,9.8903115717547130e-01,38901215.0000,38214381.0000,9.8234415043334766e-01,1.0229000000000000e+04,"Aaa",1.9800000000000001e+01,1714354627.0000,2854159638.0000,6.0000000000000000e+00,2.6691887347625051e-02,2.2420000000000002e+01,2.3846599999999999e+03
"WESTPORT",2.0020000000000000e+03,1.5900000000000000e+02,1.5800000000000000e+02,"F",1595708.0000,95154436.0000,111196197.0000,65773005.0000,10912578.0000,113681678.0000,581897.0000,581897.0000,1632402.0000,1632402.0000,-3535986.0000,-5131964.0000,-3535986.0000,,127170000.0000,127170000.0000,1062762.0000,1889454.0000,15349346.0000,14286584.0000,,4599244.0000,95134094.0000,93745150.0000,9.8540014476828885e-01,98831179.0000,94919803.0000,9.6042366346757835e-01,2.6171000000000000e+04,"Aaa",2.0010000000000002e+01,5754520985.0000,10025027909.0000,2.8000000000000000e+01,3.4131096307262111e-02,1.7199999999999999e+01,4.9833800000000001e+03
"WETHERSFIELD",2.0020000000000000e+03,1.6000000000000000e+02,1.5900000000000000e+02,"H",6162633.0000,46917418.0000,54657451.0000,32113693.0000,1709473.0000,51998266.0000,545.0000,545.0000,2476083.0000,2476083.0000,183647.0000,-884411.0000,183647.0000,,17738583.0000,17738583.0000,318976.0000,475000.0000,4350233.0000,4031257.0000,,216035.0000,46753442.0000,46086003.0000,9.8572428100587761e-01,47634008.0000,46539423.0000,9.7702093428711689e-01,2.6390000000000000e+04,"Aa3",1.2390000000000001e+01,1439091830.0000,2420108052.0000,8.3000000000000000e+01,3.6370597243491579e-02,3.2340000000000003e+01,3.6043499999999999e+03
"WILLINGTON",2.0020000000000000e+03,1.6100000000000000e+02,1.6000000000000000e+02,"T",4095629.0000,7721786.0000,12162635.0000,8869279.0000,414199.0000,11497214.0000,0.0000,0.0000,479793.0000,479793.0000,185628.0000,-89248.0000,185628.0000,6500222.6424,1875000.0000,8375222.6424,64648.0000,375000.0000,1376376.0000,1311728.0000,,,7688819.0000,7653741.0000,9.9543779090130746e-01,7749001.0000,7698731.0000,9.9351271215476678e-01,6.1160000000000000e+03,"A2",3.3270000000000003e+01,279602000.0000,446858038.0000,1.9000000000000000e+01,3.0773347605030775e-02,2.6500000000000000e+01,8.8526999999999998e+02
"WILTON",2.0020000000000000e+03,1.6200000000000000e+02,1.6100000000000000e+02,"F",5753635.0000,60048928.0000,68763589.0000,42106018.0000,8824467.0000,69017149.0000,0.0000,0.0000,0.0000,0.0000,-253560.0000,-239216.0000,-253560.0000,,77421222.0000,77421222.0000,941017.0000,2915021.0000,5309464.0000,4368447.0000,9848633.0000,277464.0000,60254280.0000,59747803.0000,9.9159433985436385e-01,60945711.0000,60000088.0000,9.8448417477646621e-01,1.7860000000000000e+04,"Aaa",2.6949999999999999e+01,2133449770.0000,4775946627.0000,6.0000000000000000e+00,3.1855784664773429e-02,2.8109999999999999e+01,4.0543499999999999e+03
"WINCHESTER",2.0020000000000000e+03,1.6300000000000000e+02,1.6200000000000000e+02,"L",9354401.0000,16105541.0000,26900178.0000,16499732.0000,567843.0000,26332042.0000,4104.0000,115104.0000,201818.0000,201818.0000,370422.0000,241725.0000,481422.0000,,2945686.0000,2945686.0000,482665.0000,0.0000,2242681.0000,1760016.0000,26517660.0000,,15965395.0000,15373217.0000,9.6290865337187082e-01,16818593.0000,15897341.0000,9.4522419324850782e-01,1.0755000000000000e+04,"A1",3.2280000000000001e+01,439565538.0000,692683611.0000,1.6600000000000000e+02,5.8585858585858588e-02,3.5840000000000003e+01,1.5923199999999999e+03
