Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2007 Population,Moody's_Bond_Ratings_July_2007,area lmt,EGL,TANF07 Recipients,empl,ACMR,enrollmt,RPA Identifier,ACGLFY07
"SUFFIELD","KE",2.0070000000000000e+03,1.4000000000000000e+02,1.3900000000000000e+02,"H",61533930.0000,13373920.0000,75358064.0000,3453169.0000,13029884.0000,27703347.0000,44426176.0000,27630468.0000,3142126.0000,42178259.0000,527350.0000,527350.0000,2445859.0000,2445859.0000,329408.0000,-1279327.0000,329408.0000,0.0000,,22191773.0000,22191773.0000,46754.0000,850000.0000,8305135.0000,"N",8258381.0000,"N","Y",27558052.0000,27269991.0000,9.8954712038427095e-01,27974958.0000,27469549.0000,9.8193352068660833e-01,1.5104000000000000e+04,"Aa3",4.2210000000000001e+01,1946906634.4774,1.4000000000000000e+01,3.9619863472092093e-02,2.5340000000000000e+01,2.4959200000000001e+03,"Capital Region COG",1079297717.0000
"THOMASTON","VR",2.0070000000000000e+03,1.4100000000000000e+02,1.4000000000000000e+02,"L",25534737.0000,8112146.0000,34768769.0000,660079.0000,6547287.0000,16027666.0000,23325152.0000,13639466.0000,2714240.0000,22939571.0000,1460063.0000,1460063.0000,2078427.0000,2078427.0000,-232783.0000,560443.0000,-232783.0000,0.0000,,22394330.0000,22394330.0000,0.0000,1185800.0000,2739354.0000,"N",2739354.0000,"N","N",15758093.0000,15384998.0000,9.7632359448570327e-01,16932935.0000,15744904.0000,9.2983903853643801e-01,7.8180000000000000e+03,"A2",1.2010000000000000e+01,1016864718.8728,2.6000000000000000e+01,4.9945235487404163e-02,3.9619999999999997e+01,1.3711300000000001e+03,"COG of Central Naugatuck Valley",393094298.0000
"THOMPSON","KE",2.0070000000000000e+03,1.4200000000000000e+02,1.4100000000000000e+02,"W",21881184.0000,5723499.0000,27938800.0000,8874983.0000,8909106.0000,10940937.0000,21157436.0000,15390682.0000,478078.0000,20261080.0000,16050.0000,140050.0000,565131.0000,565131.0000,347275.0000,-49722.0000,471275.0000,0.0000,,697816.0000,697816.0000,267315.0000,450000.0000,3383156.0000,"N",3115841.0000,"N","N",10619617.0000,10441667.0000,9.8324327515766341e-01,11080773.0000,10708594.0000,9.6641218081085134e-01,9.2310000000000000e+03,"A3",4.6939999999999998e+01,1088074248.7768,5.5000000000000000e+01,5.1014602692964157e-02,1.6649999999999999e+01,1.5001600000000001e+03,"Northeastern CT COG",641341448.0000
"TOLLAND","KE",2.0070000000000000e+03,1.4300000000000000e+02,1.4200000000000000e+02,"T",79516341.0000,13550713.0000,93380192.0000,-671945.0000,12217566.0000,33785185.0000,47593388.0000,32611898.0000,3977793.0000,46262352.0000,0.0000,0.0000,755831.0000,755831.0000,575205.0000,-116108.0000,575205.0000,0.0000,,42393713.0000,42393713.0000,1117199.0000,246912.0000,6011869.0000,"N",4894670.0000,"N","N",33675313.0000,33433191.0000,9.9281010394766045e-01,33871353.0000,33565134.0000,9.9095935140234881e-01,1.4631000000000000e+04,"A1",3.9710000000000001e+01,1908201112.9432,1.2000000000000000e+01,3.2855939342881210e-02,2.8390000000000001e+01,3.2127600000000002e+03,"Capital Region COG",1181085207.0000
"TORRINGTON","VR",2.0070000000000000e+03,1.4400000000000000e+02,1.4300000000000000e+02,"L",68141814.0000,7752548.0000,92181357.0000,9458048.0000,33713117.0000,64721926.0000,106071225.0000,59365416.0000,6075532.0000,103154510.0000,1217257.0000,19682257.0000,709989.0000,19928492.0000,3423983.0000,1724232.0000,2670480.0000,0.0000,,39841202.0000,39841202.0000,1699310.0000,0.0000,10985814.0000,"N",9286504.0000,"N","N",64446485.0000,64446485.0000,1.0000000000000000e+00,64446485.0000,64446485.0000,1.0000000000000000e+00,3.5451000000000000e+04,"A1",3.9789999999999999e+01,3585916579.7010,3.3900000000000000e+02,5.3487888553903733e-02,3.3960000000000001e+01,4.9968699999999999e+03,"Litchfield Hills Cncl of Elected Ofcls",1887980600.0000
"TRUMBULL","VR",2.0070000000000000e+03,1.4500000000000000e+02,1.4400000000000000e+02,"F",82709760.0000,-36870090.0000,45839670.0000,5942808.0000,10681625.0000,107598601.0000,127554338.0000,79481884.0000,9097831.0000,122669458.0000,664130.0000,1249730.0000,0.0000,0.0000,5549010.0000,-774044.0000,6134610.0000,0.0000,,80796124.0000,80796124.0000,2491131.0000,0.0000,16353692.0000,"N",13862561.0000,"N","N",107455438.0000,105985190.0000,9.8631760265124968e-01,109330973.0000,106752831.0000,9.7641892384877982e-01,3.4752000000000000e+04,"Aa2",2.3289999999999999e+01,7145961790.0000,3.1000000000000000e+01,3.4593498225252130e-02,2.1649999999999999e+01,6.8402900000000000e+03,"Greater Bridgeport RPA",4987818871.0000
"UNION","VR",2.0070000000000000e+03,1.4600000000000000e+02,1.4500000000000000e+02,"T",2061653.0000,589502.0000,2677982.0000,177279.0000,468976.0000,1768040.0000,2306220.0000,1355749.0000,73057.0000,2520371.0000,50200.0000,179414.0000,35073.0000,35073.0000,-199024.0000,99877.0000,-69810.0000,0.0000,,529129.0000,529129.0000,140000.0000,0.0000,374297.0000,"N",234297.0000,"N","N",1785509.0000,1756793.0000,9.8391719112029119e-01,1816309.0000,1762291.0000,9.7025946576270883e-01,7.5100000000000000e+02,,2.8710000000000001e+01,141034546.8849,0.0000000000000000e+00,3.1847133757961783e-02,2.5379999999999999e+01,1.1220000000000000e+02,"Northeastern CT COG",70145376.0000
"VERNON","VR",2.0070000000000000e+03,1.4700000000000000e+02,1.4600000000000000e+02,"T",72004129.0000,8736496.0000,83068069.0000,4684531.0000,22279357.0000,48717250.0000,75343697.0000,46567372.0000,3670139.0000,71698078.0000,250827.0000,250827.0000,3767629.0000,3767629.0000,128817.0000,866998.0000,128817.0000,0.0000,,32455599.0000,32455599.0000,916263.0000,322000.0000,9140495.0000,"N",8224232.0000,"N","N",48559054.0000,47704186.0000,9.8239529130859926e-01,49674176.0000,48303350.0000,9.7240364893018050e-01,2.9620000000000000e+04,"A1",1.7730000000000000e+01,2848133121.7450,3.4100000000000000e+02,4.3382310238689818e-02,3.6729999999999997e+01,3.8012000000000003e+03,"Capital Region COG",1310965128.0000
"VOLUNTOWN","VR",2.0070000000000000e+03,1.4800000000000000e+02,1.4700000000000000e+02,"NL",6290046.0000,2934390.0000,9224436.0000,255507.0000,3374747.0000,3988733.0000,7565853.0000,5886752.0000,356268.0000,7246157.0000,0.0000,0.0000,160000.0000,160000.0000,159696.0000,24785.0000,159696.0000,0.0000,,1376784.0000,1376784.0000,6000.0000,59470.0000,1069882.0000,"N",1063882.0000,"N","N",3903352.0000,3781134.0000,9.6868896271717231e-01,4090875.0000,3900912.0000,9.5356421303510863e-01,2.6120000000000000e+03,"A3",3.8920000000000002e+01,309945745.7143,1.3000000000000000e+01,4.8004987531172071e-02,1.8000000000000000e+01,4.5998000000000002e+02,"Southeastern CT COG",216721832.0000
"WALLINGFORD","VR",2.0070000000000000e+03,1.4900000000000000e+02,1.4800000000000000e+02,"NH",174739000.0000,8727000.0000,183698000.0000,3917000.0000,29873000.0000,89045000.0000,127897000.0000,82499000.0000,5572000.0000,128074000.0000,2864000.0000,2864000.0000,2356000.0000,2356000.0000,331000.0000,-1742000.0000,331000.0000,0.0000,,49776000.0000,49776000.0000,927000.0000,7888000.0000,21653000.0000,"N",20726000.0000,"N","N",88637000.0000,87159000.0000,9.8332524792129694e-01,90841000.0000,88385000.0000,9.7296374984863665e-01,4.4679000000000000e+04,"Aa1",3.9020000000000003e+01,6034647244.2857,1.2400000000000000e+02,4.0060408552579287e-02,2.1250000000000000e+01,7.0690299999999997e+03,"South Central Regional COG",4148219962.0000
"WARREN","KE",2.0070000000000000e+03,1.5000000000000000e+02,1.4900000000000000e+02,"L",2227972.0000,1729327.0000,5187721.0000,548058.0000,151519.0000,4039147.0000,4536195.0000,2905177.0000,0.0000,4035278.0000,0.0000,0.0000,311500.0000,311500.0000,189417.0000,117006.0000,189417.0000,0.0000,1316387.4087,0.0000,1316387.4087,0.0000,0.0000,1433631.0000,"N",1433631.0000,"N","N",4007349.0000,3986686.0000,9.9484372336923987e-01,4037581.0000,4013458.0000,9.9402538302017962e-01,1.3840000000000000e+03,"A3",2.6309999999999999e+01,470585921.3419,3.0000000000000000e+00,3.7383177570093455e-02,1.9500000000000000e+01,1.9506999999999999e+02,"Northwestern CT COG",204902510.0000
"WASHINGTON","KE",2.0070000000000000e+03,1.5100000000000000e+02,1.5000000000000000e+02,"L",10045879.0000,1775825.0000,14292595.0000,812632.0000,251444.0000,11508346.0000,12893354.0000,8120135.0000,74841.0000,11906575.0000,0.0000,0.0000,1139950.0000,1139950.0000,-153171.0000,-485157.0000,-153171.0000,0.0000,1100879.0364,385000.0000,1485879.0364,0.0000,375865.0000,1989062.0000,"N",1989062.0000,"N","N",11418232.0000,11315266.0000,9.9098231670192027e-01,11527598.0000,11374734.0000,9.8673930163074741e-01,3.6710000000000000e+03,"Aa3",3.8180000000000000e+01,1824165238.7387,1.1000000000000000e+01,3.4589571502323183e-02,1.2000000000000000e+01,4.7507999999999998e+02,"Northwestern CT COG",950309330.0000
"WATERBURY","VR",2.0070000000000000e+03,1.5200000000000000e+02,1.5100000000000000e+02,"NH",260385000.0000,-126805000.0000,142648000.0000,26605000.0000,141738000.0000,194680000.0000,361620000.0000,153285000.0000,18226000.0000,336988000.0000,0.0000,0.0000,24250000.0000,24250000.0000,382000.0000,3382000.0000,382000.0000,0.0000,,106987000.0000,106987000.0000,0.0000,2958000.0000,19876000.0000,"N",19876000.0000,"N","N",194064000.0000,187525000.0000,9.6630493033226150e-01,224241000.0000,192662000.0000,8.5917383529327818e-01,1.0717400000000000e+05,"Baa1",2.8570000000000000e+01,7980077354.6520,4.1870000000000000e+03,7.4228220462259575e-02,5.5493800000000000e+01,1.7819040000000001e+04,"COG of Central Naugatuck Valley",3477855604.0000
"WATERFORD","VR",2.0070000000000000e+03,1.5300000000000000e+02,1.5200000000000000e+02,"NL",142566145.0000,45883450.0000,188578759.0000,7813305.0000,5097110.0000,50643794.0000,67467972.0000,39575955.0000,0.0000,63050942.0000,2023.0000,2023.0000,5923878.0000,5923878.0000,-1504825.0000,-2621340.0000,-1504825.0000,0.0000,,0.0000,0.0000,555265.0000,0.0000,11420367.0000,"N",10865102.0000,"N","N",53356569.0000,50052645.0000,9.3807840230506578e-01,62109073.0000,50266758.0000,8.0933035339297366e-01,1.8775000000000000e+04,,3.2750000000000000e+01,5130130503.9226,6.6000000000000000e+01,3.8729666924864445e-02,1.9890000000000001e+01,3.3193299999999999e+03,"Southeastern CT COG",2680869960.0000
"WATERTOWN","KE",2.0070000000000000e+03,1.5400000000000000e+02,1.5300000000000000e+02,"L",73490497.0000,4685860.0000,78487469.0000,9793525.0000,15054605.0000,37826867.0000,55714962.0000,34388243.0000,4452035.0000,55252527.0000,297306.0000,297306.0000,439615.0000,439615.0000,320126.0000,1066106.0000,320126.0000,0.0000,,41058972.0000,41058972.0000,890284.0000,128000.0000,5435651.0000,"N",4545367.0000,"N","Y",37427265.0000,37087621.0000,9.9092522523352966e-01,38116848.0000,37538621.0000,9.8483014650109579e-01,2.2128000000000000e+04,"Aa3",2.9149999999999999e+01,3123837525.2026,8.6000000000000000e+01,4.4036997626258491e-02,2.2719999999999999e+01,3.5027200000000003e+03,"COG of Central Naugatuck Valley",1630111845.0000
"WEST HARTFORD","VR",2.0070000000000000e+03,1.5500000000000000e+02,1.5500000000000000e+02,"H",152329000.0000,19265000.0000,173756000.0000,1228000.0000,24177000.0000,172565000.0000,205113000.0000,120280000.0000,24324000.0000,199798000.0000,920000.0000,920000.0000,4116000.0000,4116000.0000,2119000.0000,272000.0000,2119000.0000,0.0000,,156055000.0000,156055000.0000,788000.0000,781000.0000,16981000.0000,"N",16193000.0000,"N","N",172700000.0000,171388000.0000,9.9240301100173711e-01,174308000.0000,172185000.0000,9.8782040984923236e-01,6.0486000000000000e+04,"Aaa",2.1980000000000000e+01,9287369285.7638,2.3600000000000000e+02,4.1001727115716750e-02,4.6189999999999998e+01,1.0129469999999999e+04,"Capital Region COG",3710940390.0000
"WEST HAVEN","KE",2.0070000000000000e+03,1.5600000000000000e+02,1.5600000000000000e+02,"NH",45790447.0000,-6757336.0000,39033111.0000,1137032.0000,49025893.0000,88543306.0000,142637556.0000,79758552.0000,19167291.0000,141123635.0000,1176413.0000,1396633.0000,382486.0000,382486.0000,2307848.0000,-6174726.0000,2528068.0000,0.0000,,175244091.0000,175244091.0000,3328018.0000,0.0000,-7258423.0000,"N",-10586441.0000,"N","Y",85520692.0000,83956237.0000,9.8170670789240111e-01,94377118.0000,87245075.0000,9.2443037940616068e-01,5.2676000000000000e+04,"Baa2",1.0830000000000000e+01,4391895575.7143,7.8100000000000000e+02,5.1937008945273970e-02,2.7960000000000001e+01,7.5851700000000001e+03,"South Central Regional COG",3044871589.0000
"WESTBROOK","KE",2.0070000000000000e+03,1.5700000000000000e+02,1.5400000000000000e+02,"M",19771746.0000,6917108.0000,29494862.0000,1468057.0000,2116285.0000,18094883.0000,21640518.0000,12246682.0000,3152103.0000,20688364.0000,43735.0000,43735.0000,431500.0000,431500.0000,564389.0000,375310.0000,564389.0000,0.0000,,32875000.0000,32875000.0000,0.0000,0.0000,2121759.0000,"N",2121759.0000,"N","N",17804376.0000,17601854.0000,9.8862515597289113e-01,18331624.0000,17901631.0000,9.7654364937880023e-01,6.6180000000000000e+03,"A1",1.5720000000000001e+01,1895070325.8024,1.8000000000000000e+01,3.4934497816593885e-02,2.2219999999999999e+01,1.0030000000000000e+03,"CT River Estuary RPA",807527920.0000
"WESTON","KE",2.0070000000000000e+03,1.5800000000000000e+02,1.5700000000000000e+02,"F",35988227.0000,13964067.0000,49952294.0000,1371010.0000,3626755.0000,55818022.0000,61991108.0000,42079139.0000,6649617.0000,59057498.0000,77321.0000,236826.0000,1535576.0000,1535576.0000,1475355.0000,1163185.0000,1634860.0000,0.0000,,76943130.0000,76943130.0000,967842.0000,329500.0000,10574352.0000,"N",9606510.0000,"N","N",55620516.0000,55143293.0000,9.9142001846944394e-01,56257717.0000,55533588.0000,9.8712836142995275e-01,1.0200000000000000e+04,"Aaa",1.9800000000000001e+01,4183066000.6549,1.0000000000000000e+00,2.5300958987961641e-02,2.2750000000000000e+01,2.6237800000000002e+03,"South Western RPA",2456747218.0000
"WESTPORT","VR",2.0070000000000000e+03,1.5900000000000000e+02,1.5800000000000000e+02,"F",173214533.0000,30187440.0000,203401973.0000,14297585.0000,2820268.0000,132883582.0000,156144683.0000,86893706.0000,18403430.0000,152833786.0000,612650.0000,28825528.0000,1501641.0000,29528309.0000,2421906.0000,392786.0000,2608116.0000,0.0000,,165865000.0000,165865000.0000,1327109.0000,5933994.0000,21285122.0000,"N",19958013.0000,"N","N",132976547.0000,130759451.0000,9.8332716520304897e-01,138209763.0000,132535360.0000,9.5894354438622398e-01,2.6508000000000000e+04,"Aaa",2.0010000000000002e+01,14746818910.0000,1.1000000000000000e+01,2.9849570764747577e-02,1.2970000000000001e+01,5.5863000000000002e+03,"South Western RPA",10321816785.0000
"WETHERSFIELD","VR",2.0070000000000000e+03,1.6000000000000000e+02,1.5900000000000000e+02,"H",46858585.0000,10894248.0000,58392016.0000,4260611.0000,10009012.0000,64617241.0000,78045069.0000,45250664.0000,4147019.0000,74275273.0000,0.0000,0.0000,2735706.0000,2735706.0000,1034090.0000,1414342.0000,1034090.0000,0.0000,,34628396.0000,34628396.0000,291495.0000,700000.0000,8266833.0000,"N",7975338.0000,"N","N",64626417.0000,63971604.0000,9.8986771926408978e-01,65302675.0000,64258954.0000,9.8401717846933534e-01,2.5781000000000000e+04,"Aa3",1.2390000000000001e+01,3728964090.5611,8.9000000000000000e+01,4.1673027018775760e-02,3.2430000000000000e+01,3.9440599999999999e+03,"Capital Region COG",1991192040.0000
"WILLINGTON","VR",2.0070000000000000e+03,1.6100000000000000e+02,1.6000000000000000e+02,"T",8801505.0000,3920144.0000,12721649.0000,99403.0000,4039010.0000,10040332.0000,14573996.0000,11052362.0000,390472.0000,13910321.0000,0.0000,0.0000,855331.0000,855331.0000,-191656.0000,309919.0000,-191656.0000,0.0000,4695525.5006,4260288.0000,8955813.5006,112732.0000,350000.0000,1649964.0000,"N",1537232.0000,"N","N",10007056.0000,9943771.0000,9.9367596224104271e-01,10103898.0000,10005964.0000,9.9030730516083987e-01,6.1390000000000000e+03,"A2",3.3270000000000003e+01,714878417.5599,2.6000000000000000e+01,3.4259018946275629e-02,2.5570000000000000e+01,8.5550000000000000e+02,"Windham Region COG",387682695.0000
"WILTON","KE",2.0070000000000000e+03,1.6200000000000000e+02,1.6100000000000000e+02,"F",71287195.0000,26073692.0000,97360887.0000,5741085.0000,7669044.0000,88067800.0000,100430939.0000,63652774.0000,9122892.0000,96941218.0000,0.0000,333938.0000,135000.0000,135000.0000,3354721.0000,5620024.0000,3688659.0000,0.0000,,69783376.0000,69783376.0000,1382687.0000,3918682.0000,19169338.0000,"N",17786651.0000,"N","N",84894783.0000,84316081.0000,9.9318330314832182e-01,85823772.0000,84614691.0000,9.8591205010192284e-01,1.7715000000000000e+04,"Aaa",2.6949999999999999e+01,7406249795.8456,0.0000000000000000e+00,2.9465040454051444e-02,2.3390000000000001e+01,4.3856599999999999e+03,"South Western RPA",3768790970.0000
"WINCHESTER","KE",2.0070000000000000e+03,1.6300000000000000e+02,1.6200000000000000e+02,"L",37596274.0000,4630810.0000,42659948.0000,369374.0000,10123934.0000,19601927.0000,30584915.0000,20122893.0000,528591.0000,30297129.0000,156249.0000,183222.0000,179781.0000,179781.0000,264254.0000,-385071.0000,291227.0000,0.0000,,1615290.0000,1615290.0000,298934.0000,213170.0000,1633936.0000,"N",1335002.0000,"N","N",19521627.0000,19016467.0000,9.7412305849302416e-01,20107559.0000,19368633.0000,9.6325133249640094e-01,1.0748000000000000e+04,"A2",3.2280000000000001e+01,1139476802.5512,9.6000000000000000e+01,5.4103852596314908e-02,3.3340000000000003e+01,1.5730699999999999e+03,"Litchfield Hills Cncl of Elected Ofcls",585230733.0000
"WINDHAM","VR",2.0070000000000000e+03,1.6400000000000000e+02,1.6300000000000000e+02,"W",16824148.0000,6245472.0000,29989486.0000,-922460.0000,32039311.0000,25230311.0000,60811883.0000,40765620.0000,3270584.0000,60678342.0000,0.0000,73700.0000,839355.0000,839355.0000,-705814.0000,-1582048.0000,-632114.0000,0.0000,,28191301.0000,28191301.0000,400071.0000,272000.0000,6820019.0000,"N",6419948.0000,"N","N",25161494.0000,24494008.0000,9.7347192499777635e-01,26062179.0000,25006775.0000,9.5950438372785329e-01,2.3678000000000000e+04,"A2",2.7070000000000000e+01,1305608578.5714,7.1700000000000000e+02,6.5577931968184122e-02,2.3949999999999999e+01,3.5949600000000000e+03,"Windham Region COG",900116595.0000
"WINDSOR","VR",2.0070000000000000e+03,1.6500000000000000e+02,1.6400000000000000e+02,"H",58558140.0000,29708858.0000,88266998.0000,2808338.0000,17014499.0000,68138291.0000,92447469.0000,57431966.0000,5652399.0000,82718000.0000,0.0000,0.0000,7142489.0000,7142489.0000,2586980.0000,1498827.0000,2586980.0000,0.0000,,44225000.0000,44225000.0000,728882.0000,612700.0000,13610578.0000,"N",12881696.0000,"Y","N",68003214.0000,67097273.0000,9.8667796789722317e-01,68988354.0000,67673173.0000,9.8093618815720696e-01,2.8754000000000000e+04,"Aa2",2.9629999999999999e+01,4152615879.3902,1.7000000000000000e+02,4.2220973081006807e-02,2.9300000000000001e+01,4.5895799999999999e+03,"Capital Region COG",2302560156.0000
"WINDSOR LOCKS","KE",2.0070000000000000e+03,1.6600000000000000e+02,1.6500000000000000e+02,"H",46121791.0000,17287691.0000,63413317.0000,1674049.0000,12669520.0000,26309280.0000,40864305.0000,25875202.0000,1854795.0000,38546912.0000,131287.0000,131287.0000,1894181.0000,1894181.0000,554499.0000,1854961.0000,554499.0000,0.0000,,15262598.0000,15262598.0000,114746.0000,1700000.0000,9416606.0000,"N",9301860.0000,"Y","N",26060181.0000,25555096.0000,9.8061851527431831e-01,26882148.0000,25884500.0000,9.6288808468728015e-01,1.2491000000000000e+04,"Aa2",9.0299999999999994e+00,2077922391.5819,5.8000000000000000e+01,4.6116848210496532e-02,2.2649999999999999e+01,2.0374000000000001e+03,"Capital Region COG",1096582384.0000
"WOLCOTT","VR",2.0070000000000000e+03,1.6700000000000000e+02,1.6600000000000000e+02,"NH",40488101.0000,16822442.0000,57310543.0000,4084398.0000,16587400.0000,28837903.0000,47093848.0000,31757375.0000,4766613.0000,47993366.0000,899576.0000,899576.0000,512508.0000,512508.0000,-512450.0000,304980.0000,-512450.0000,0.0000,,39963267.0000,39963267.0000,74715.0000,300000.0000,2115756.0000,"N",2041041.0000,"N","N",28945766.0000,28015308.0000,9.6785512603121304e-01,30242644.0000,28470587.0000,9.4140535463764341e-01,1.6407000000000000e+04,"A3",2.0430000000000000e+01,2105296069.7563,5.1000000000000000e+01,4.2649828292899081e-02,3.1770000000000000e+01,3.2679300000000003e+03,"COG of Central Naugatuck Valley",905921889.0000
"WOODBRIDGE","KE",2.0070000000000000e+03,1.6800000000000000e+02,1.6700000000000000e+02,"NH",41522676.0000,9278453.0000,51111011.0000,2394175.0000,1670947.0000,34409746.0000,38057145.0000,23607817.0000,2099056.0000,36694613.0000,253586.0000,253586.0000,1917986.0000,1917986.0000,-301868.0000,-240659.0000,-301868.0000,0.0000,19535925.5701,15215000.0000,34750925.5701,372858.0000,400000.0000,5326426.0000,"N",4953568.0000,"N","N",34110588.0000,33918341.0000,9.9436400803175840e-01,34260157.0000,33967581.0000,9.9146016756432265e-01,9.2010000000000000e+03,"Aa1",1.8829999999999998e+01,1924086373.9455,7.0000000000000000e+00,3.1243618541964467e-02,2.8730000000000000e+01,1.6707400000000000e+03,"South Central Regional COG",1187562670.0000
"WOODBURY","KE",2.0070000000000000e+03,1.6900000000000000e+02,1.6800000000000000e+02,"L",16347415.0000,4697932.0000,21615138.0000,962016.0000,1127769.0000,23395160.0000,25582192.0000,18062439.0000,170905.0000,25374222.0000,6729.0000,22354.0000,442268.0000,492677.0000,-227569.0000,-213998.0000,-262353.0000,0.0000,5548510.4900,3432514.0000,8981024.4900,190261.0000,350000.0000,2743912.0000,"N",2553651.0000,"N","N",23299245.0000,23011836.0000,9.8766445007123627e-01,23785796.0000,23243912.0000,9.7721816835560182e-01,9.6540000000000000e+03,"Aa3",3.6469999999999999e+01,1925852234.7803,9.0000000000000000e+00,3.2465150403521645e-02,2.2789999999999999e+01,1.5258800000000001e+03,"COG of Central Naugatuck Valley",1018557178.0000
"WOODSTOCK","VR",2.0070000000000000e+03,1.7000000000000000e+02,1.6900000000000000e+02,"W",14615749.0000,6536678.0000,23782771.0000,1125708.0000,6355528.0000,12603708.0000,19722683.0000,14730956.0000,1218592.0000,19370129.0000,41.0000,41.0000,511837.0000,511837.0000,-159242.0000,104961.0000,-159242.0000,0.0000,,6254546.0000,6254546.0000,290558.0000,445000.0000,2443139.0000,"N",2152581.0000,"N","N",12412711.0000,12252694.0000,9.8710861793205373e-01,12761615.0000,12477435.0000,9.7773165857142685e-01,8.1880000000000000e+03,"A2",6.0539999999999999e+01,1080417282.8571,1.3000000000000000e+01,3.8851715950787825e-02,1.6399999999999999e+01,1.4321300000000001e+03,"Northeastern CT COG",754736433.0000
